,Attribute,Label,Description,Required,Cond_Req,Valid Values,Conditional Requirements,Component
msAnalyzerTypeMS1,msAnalyzerTypeMS1,MsAnalyzerTypeMS1,"Describes the mass spectrometer analyzer used to read out parent ions (quadrupole, ion-trap, time-of-flight, FT-ICR, including combinations of these for hybrid instruments)",True,,"['Not collected', 'Not Specified', 'Not applicable', 'triple quadrupole', 'Q Exactive HF-X', 'Exploris 240Exploris 480quadrupole time-of-flight', 'Orbitrap Fusion', 'Unknown', 'Q Exactive Plus', 'Q Exactive HF', 'Xevo G2 QTOF', 'Q Exactive', 'Orbitrap Fusion Lumos', 'time-of-flight', 'Xevo TQ-S', 'Bruker Avance IIITimsTOF ProOtherMsAnalyzerTypeMS1', 'LTQ Orbitrap XL']",,Proteomics
msAssayTechnique,msAssayTechnique,MsAssayTechnique,Specified the mass spectrometer technique used,True,,"['Not Specified', 'Not applicable', 'HPLC-MSMS', 'MDMS-SL', 'LC-MSMS', 'LC-MS', 'UPLC-MSMS', 'UPLC-ESI-QTOF-MS', 'FIA-MSMS', 'Unknown', 'MIB-MS', 'DDA-MS', 'DIA-MS', 'LC-SRMOtherMsAssayTechnique', 'Not collected']",,Proteomics
specifyOtherCleavageAgent,specifyOtherCleavageAgent,SpecifyOtherCleavageAgent,Value is determined by the data contributor,False,,,,Proteomics
specifyProteomicsAssayType,specifyProteomicsAssayType,SpecifyProteomicsAssayType,Value is determined by the data contributor,False,,,,Proteomics
specifyPlatformLocation,specifyPlatformLocation,SpecifyPlatformLocation,Value is determined by the data contributor,False,,,,Proteomics
msInstrumentModel,msInstrumentModel,MsInstrumentModel,The model of the mass spectrometer  used,True,,,,Proteomics
dataFile,dataFile,DataFile,"The data file provides the name of the raw file generated by the instrument. The data files can be instrument raw files but also converted peak lists such as mzML, MGF or result files like mzIdentML.",True,,"['Not Specified', 'Unknown', 'Not applicable', 'Not collected']",,Proteomics
platformLocation,platformLocation,PlatformLocation,"The name of the laboratory, facility, vendor, company, or location where the data generation platform was located, provided by the data contributor",True,,"['Not Specified', 'OtherPlatformLocation', 'Not applicable', 'Unknown', 'Not collected']",,Proteomics
modificationParameters,modificationParameters,ModificationParameters,Modification parameters for the search engine run. [ PSI: PI http://www.w3.org/2002/07/owl#Axiom ],True,,,,Proteomics
sampleType,sampleType,SampleType,The type of sample collected,True,,"['Amniotic Fluid', 'Pancreas', 'Sputum', 'Small intestine', 'Appendix', 'cell line', 'Carbohydrate', 'Popliteal lymph node', 'Vagina', 'Epithelium', 'Thymus', 'Feces', 'Tonsil', 'Liver', 'Colon', 'Dried Blood Spot', 'Brachial lymph node', 'Trachea', 'Neutrophil', 'Stomach', 'Positive Control', 'Breast Milk', 'Nasal Swab', 'DNA', 'Leukocytes', 'Bronchoalveolar Lavage Fluid', 'Inguinal lymph node', 'Endotracheal aspirate', 'Basophils', 'Monocyte', 'Lymphocyte', 'Negative Control', 'PBL', 'Cerebrospinal Fluid', 'Urine', 'Cord blood', 'Colonic Lamina Propria', 'Bone', 'Lung', 'Umbilical cord blood', 'B cell', 'Skin of body', 'Fibroblast', 'Lipid', 'Plasma', 'Red Blood Cell', 'Whole blood', 'brain', 'Lung lymph node', 'Synovial tissue', 'Protein', 'Nasal lavage fluid', 'Jejunum', 'Cervical lymph nodes', 'Pancreatic Stellate Cells', 'Saliva', 'Dendritic cell', 'Cell culture supernatant', 'Osteoblasts', 'Spleen', 'Oropharyngeal Swab Specimen', 'Lymph node', 'Ileum', 'Not Specified', 'Nasal Swab or Nose Specimen', 'PBMC', 'Synovial fluid', 'Organoids', 'Urinary bladder', 'Gastric lamina propria', 'Pooled Sample', 'OtherSampleType', 'Macrophage', 'Tumor Tissue', 'Dermis', 'Salivary Glands', 'Placenta', 'NK cell', 'Mesenteric lymph node', 'Rectal Swab Specimen', 'Bone Marrow', 'Serum', 'Convalescent Plasma', 'Optic Nerve', 'Kidney', 'T cell', 'Mouse Ear', 'Nasopharyngeal Swab Specimen']",,Proteomics
specifyMSAnalyzerTypeMS1,specifyMSAnalyzerTypeMS1,SpecifyMSAnalyzerTypeMS1,Value is determined by the data contributor,False,,,,Proteomics
precursorMassTolerance,precursorMassTolerance,PrecursorMassTolerance,"Units of measure are Da or ppm (ex. ""0.6 Da"" or ""20 ppm"")",True,,,,Proteomics
specifyMSAnalyzerTypeMS2,specifyMSAnalyzerTypeMS2,SpecifyMSAnalyzerTypeMS2,Value is determined by the data contributor,False,,,,Proteomics
acquisitionSoftware,acquisitionSoftware,AcquisitionSoftware,The name of the acquisition software used,True,,"['Not Specified', 'Unknown', 'Not applicable', 'Not collected']",,Proteomics
cleavageAgents,cleavageAgents,CleavageAgents,Name(s) of the enzyme used,True,,,,Proteomics
acquistionSoftwareVersion,acquistionSoftwareVersion,AcquistionSoftwareVersion,The version number of software used,True,,,,Proteomics
technologyPlatformVersion,technologyPlatformVersion,TechnologyPlatformVersion,"The specific version (application, manufacturer, model, lab, etc.) of a technology that is used to carry out a laboratory or computational experiment.",True,,"['Illumina HumanOmniExpress-24 v1.2 BeadChip', 'PacBio Sequel IIe System', 'Cherry Imaging TRACE Platform', 'Illumina Infinium MethylationEPIC BeadChip v1.0 (850k)', 'Affymetrix Genome-Wide Human SNP 6.0 Array', 'Promega GloMax Discover', 'scale', 'Illumina Infinium MethylationEPIC BeadChip v2.0 (935k)Illumina MiSeq', 'Illumina NextSeq 550', 'Infinium HumanOmniExpressExome', 'Cherry Imaging FACE Platform', 'Bionano Irys', 'Illumina 1M', 'Affymetrix Human Gene 1.0 ST Array', 'Illumina HumanHap300', 'Illumina NextSeq 2000', 'LI-COR Odyssey CLx', 'Illumina HiSeq 3000', 'Chromium X', 'Illumina Omni2pt5M', '10x Visium Spatial Gene Expression', 'Agilent 44Karray', 'LifeViz Infinity System', 'Illumina Genome Analyzer IIx', 'Spectramax M Series', 'Not applicable', 'Affymetrix Genome-Wide Human SNP 5.0 Array', 'BGISEQ-500', 'Nanostring Counter', 'Illumina NovaSeq 6000', 'Illumina h650', 'Perlegen 300Karray', 'Not Specified', 'Illumina HiSeq 2500', 'Illumina HumanOmni1-Quadv1.0', 'Vectra H1 3D Imaging System', 'PacBio Sequel II System', 'Illumina HiSeq X', 'Orbitrap Fusion Lumos Tribrid', 'Illumina Omni5M', 'Illumina WholeGenome DASL', 'Illumina HiSeq 4000', 'Vevo 3100 Imaging System', 'Illumina Human660W-Quad v1.0 BeadChip', 'EnVision 2103 Multiplate Reader', 'Affymetrix U133AB', 'LTQ Orbitrap XL', 'Olympus DP80', 'OtherTechnologyPlatformVersion', 'Q Exative HF', 'Zeiss LSM 980', 'Illumina HumanOmniExpress-24 v1.0 BeadChip', 'Illumina NextSeq 1000', 'Illumina NextSeq 500', 'Affymetrix Human Genome U133 Plus 2.0 Array', 'Illumina MouseWG-6 v2.0 expression BeadChip', 'Illumina HumanMethylation450', 'Illumina HiSeq 2000', 'Nanostring GeoMx', 'Unknown', 'PacBio RS II', 'LifeViz Micro System', 'Not collected']",,Proteomics
samplePrepProtocol,samplePrepProtocol,SamplePrepProtocol,An internet address that may provide more details of the protocol information (web link),False,,,,Proteomics
specifyMSInstrumentModel,specifyMSInstrumentModel,SpecifyMSInstrumentModel,Value is determined by the data contributor,False,,,,Proteomics
digestionMethod,digestionMethod,DigestionMethod,"The type of digestion - in-solution, in-gel, etc. (ex. ""in-gel digestion"")",True,,"['', 'in-gel', 'Not applicable', 'OtherDigestionMethod', 'Unknown', 'in-solution', 'Not collected']",,Proteomics
specifyDatabaseName,specifyDatabaseName,SpecifyDatabaseName,Value is determined by the data contributor,False,,,,Proteomics
samplingAge,samplingAge,SamplingAge,"The calculated age of the sample, measurement is determined or coded by the data contributor. ",True,,,,Biospecimenhuman
organ,organ,Organ,Indicate the organ the specimen is from,True,,"['Common Bile Duct', 'Neck Lymph Node Boundary Levels II-IV', 'Gastric Lymph Node', 'Not applicable', 'Sebaceous Gland', 'Male Prepuce', 'Intrathoracic Lymph Node', 'Hepatic Lymph Node', 'Skin of the Sole', 'Splenic Hilar Lymph Node', 'Tongue', 'Skin of the Lower Limb and Hip', 'Intra-Abdominal Lymph Node', 'Left Kidney', 'Non-Glabrous Skin', 'Left Lung', 'Left Fallopian Tube', 'Superficial Cervical Lymph Node', 'Uterus', 'Tracheobronchial Lymph Node', 'Ear Skin', 'Elbow Skin', 'Pyloric Gland', 'Interlobular Bile Duct', 'Submandibular Lymph Node', 'Cervical Gland', 'Skin of the Lip', 'Colon Lymph Node', 'Fixed Lymph Node', 'Gallbladder', 'Head and Neck Lymph Node', 'Porta Hepatis Lymph Node', 'Striated Duct', 'Epitrochlear Lymph Node', 'Adrenal Gland', 'Sebaceous Gland Duct', 'Skin of the Upper Extremity', 'Both Eyes', 'Distal Common Bile Duct', 'Extrahepatic Bile Duct', 'Diaphragmatic Lymph Node', 'Intrahepatic Portion of the Left Hepatic Duct', 'Intrahepatic Large Bile Duct', 'Ear', 'Perihilar Lymph Node', 'Spinal Cord', 'Left Adrenal Gland', 'Skin of the Inguinal Region', 'Pectoral Lymph Node', 'Sweat Gland Duct', 'Neck Lymph Node Boundary Sublevel IB', 'Major Salivary Gland', 'Main Pancreatic and Accessory Ducts', 'Ileum Lymph Node', 'Internal Iliac Lymph Node', 'Scalp', 'Endocrine Gland', 'Right Lung', 'Biliary Tract', 'Arm Skin', 'Ovary', 'Vulva', 'Inguinal Lymph Node', 'Right Kidney', 'Skin of the Lower Extremity', 'Neck Lymph Node Boundary Sublevel IIA', 'Sternum', 'Semicircular Duct', 'Aortopulmonary Window Lymph Node', 'Skin of the Buttock', 'Female Prepuce', 'Ceruminous Gland', 'Anterior Mediastinal Lymph Node', 'External Iliac Lymph Node', 'Laryngeal Mucous Salivary Gland', 'Cardia Gland', 'Efferent Duct', 'Upper Cervical Lymph Node', 'Prostatic Duct', 'Right Testis', 'Neck Lymph Node Groups', 'Femur', 'Subsegmental Lymph Node', 'Submandibular Lymph Node Group (Sublevel IB)', 'Scrotum', 'Draining Lymph Node', 'Perifacial Lymph Node', 'Pelvic Lymph Node', 'Skin', 'Pancreatic Duct', 'Aortocaval Lymph Node', 'Esophageal Lymph Node', 'Endocrine Ovary', 'Serous Salivary Gland', 'Sublingual Salivary Gland', 'Intercalated Duct of the Pancreas', 'Cochlear Duct', 'Abdominal Skin', 'Bronchial Lymph Node', 'Buccal Salivary Gland', 'Pancreas', 'Pregnant Uterus', 'Iliac Lymph Node', 'Infraclavicular Lymph Node', 'Interlobular Duct', 'Vagina', 'Female Urethra', 'Foot Skin', 'Scalene Lymph Node', 'Skin of the Scalp and Neck', 'Rib', 'Bartholin Gland', 'Epigastric Lymph Node', 'Liver', 'Hand Skin', 'Lower Jugular Lymph Node Group (Level IV)', 'Preauricular Lymph Node', 'Mammary Gland', 'Stomach', 'Distal 1/3 of the Common Bile Duct', 'Parotid Duct', 'Eccrine Sweat Gland', 'Neck Skin', 'Intrathyroidal Parathyroid', 'Skin Of The Chin', 'Ankle Skin', 'Supraclavicular Lymph Node', 'Vas Deferens', 'Left Testis', 'Perirectal Lymph Node', 'Bladder', 'Lymph Node by Anatomic Site', 'Duct', 'Thymus Gland', 'Neck Lymph Node Boundary Sublevel VA', 'Pituitary Gland', 'Lingual Tonsil', 'Skinfold', 'Glabrous Skin', 'Cowper Gland', 'Subcarinal Lymph Node', 'Sacral Lymph Node', 'Axillary Lymph Node Level III', 'Pretracheal Lymph Node', 'Right Lymphatic Duct', 'Sentinel Lymph Node', 'Right Ureter', 'Superficial Lymph Node', 'Esophagus', 'Fundic Gland', 'Circumanal Gland', 'Intestine', 'Intercalated Duct of the Salivary Gland System', 'Pharyngeal Tonsil', 'Anal Gland', 'Gland of Littre', 'Inferior Parathyroid Gland', 'Hepatic Duct', 'Intercalated Duct', 'Nasolacrimal Duct', 'Femoral Lymph Node', 'Skin of the Upper Limb and Shoulder', 'Intrahepatic Portion of the Right Hepatic Duct', 'Cystic Duct', 'Axillary Lymph Node Level I', 'Inferior Mediastinal Lymph Node', 'Left Hepatic Duct', 'Neck Lymph Node Boundary Level VII', 'Not collected', 'Renal Lymph Node', 'Axillary Lymph Node Level II', 'Sebaceous Gland of the Eyelash', 'Obturator Lymph Node', 'Posterior Triangle Lymph Node Group (Sublevels VA and VB)', 'Ejaculatory Duct', 'Lingual Salivary Gland', 'Neck Lymph Node Boundary Levels I-IV', 'Cervical Lymph Node', 'Skin of the Chest', 'Nuchal Lymph Node', 'Sweat Gland', 'Occipital Lymph Node', 'Kidney', 'Common Hepatic Duct', 'Gonad', 'Ureter', 'Upper Jugular Lymph Node Group (Sublevels IIA and IIB)', 'Unknown', 'Knee Skin', 'Foot Digit Skin', 'Lactiferous Duct', 'Male Urethra', 'Urethral Gland', 'Medial Supraclavicular Lymph Node', 'Common Iliac Lymph Node', 'Middle Jugular Lymph Node Group (Level III)', 'Minor Salivary Gland', 'Portal Lymph Node', 'Testis', 'Gland of Wolfring', 'Duct of the Epididymis', 'Endocrine Sex Organ', 'Vertebral', 'Penis', 'Posterior Cervical Lymph Node', 'Tonsil', 'Gland of Moll', 'Eyelid Skin', 'Trachea', 'Right Ear', 'Thoracic Duct', 'Retropharyngeal Lymph Node', 'Gland of Krause', 'Left Breast', 'Montgomery Tubercle', 'Eye', 'Interval Lymph Node', 'Duct of Gartner', 'Apocrine Sweat Gland', 'Parathyroid Gland', 'Internal Mammary Lymph Node', 'Intercostal Lymph Node', 'Spermatic Cord', 'Superior Mediastinal Lymph Node Group (Level VII)', 'Celiac Lymph Node', 'Pineal Gland', 'Bile Duct', 'Skin Around the Mouth', 'Left Ear', 'Salivary Gland', 'Skin of the Trunk', 'Neck Lymph Node Boundary Sublevel IA', 'Lung', 'Mucous Salivary Gland', 'Suprapubic Skin', 'Right Lung Alveolar Duct', 'Mesenteric Lymph Node', 'Parotid Gland', 'Skin of the Bending Joint', 'brain', 'Lymph Node', 'Anterior Compartment Lymph Node Group (Level VI)', 'Retroperitoneal Lymph Node', 'Gastric Curvature Lymph Node', 'Prelaryngeal Lymph Node', 'Splenic Lymph Node', 'Ductus Santorini', 'Presacral Lymph Node', 'Mullerian Duct', 'Submental Lymph Node', 'Hand Digit Skin', 'Peristomal Skin', 'Left Ovary', 'Flexural Skin', 'Neck Lymph Node Boundary Sublevel IIB', 'Hilar Portion of the Right Hepatic Duct', 'Neck Lymph Node Boundary Levels and Sublevels', 'Deep Cervical Lymph Node', 'Exocrine Pancreas', 'Urethra', 'Submental Lymph Node Group (Sublevel IA)', 'Pancreatic Lymph Node', 'Seminal Vesicle', 'Palatine Tonsil', 'Skin of the Infrascapular Region', 'Skin of the Palm', 'Paralaryngeal Lymph Node', 'Right Hepatic Duct', 'Upper Paratracheal Lymph Node', 'Esophageal Gland', 'Skin of the Forearm', 'Retroauricular Lymph Node', 'Bone Marrow', 'Neck Lymph Node Boundary Sublevel VB', 'Distant Lymph Node', 'Sublingual Lymph Node', 'Neck Lymph Node Boundary Level III', 'Right Seminal Vesicle', 'Cardiophrenic Lymph Node', 'Endocrine Testis', 'Bronchial Tree', 'Intrahepatic Bile Duct', 'Branch Duct', 'Left Eye', 'Thyroid Gland', 'Portacaval Lymph Node', 'Alveolar Duct', 'Paracaval Lymph Node', 'Leg Skin', 'Axillary Lymph Node', 'Occipital Scalp', 'Labial Salivary Gland', 'Left Ureter', 'Prepuce', 'Tracheobronchial Tree', 'Male Breast', 'Lacrimal Gland', 'Extra-Abdominal Lymph Node', 'Skin Of The Back', 'Buccal Lymph Node', 'Hilar Portion of the Hepatic Duct', 'Epididymis', 'Retrocrural Lymph Node', 'Left Lung Alveolar Duct', 'Lower Gastrointestinal Tract Lymph Node', 'Regional Lymph Node', 'Skin of the Face', 'Right Breast', 'Heart', 'Neck Lymph Node Boundary Level IV', 'Prostate Gland', 'Female Breast', 'Parapharyngeal Lymph Node', 'Right Eye', 'Superior Parathyroid Gland', 'Skin of the Extremity', 'Tibia', 'Meibomian Gland', 'Submandibular Duct', 'Humerus', 'Accessory Lacrimal Gland', 'Palatine Salivary Gland', 'Fallopian Tube', 'Anal Sac', 'Left Seminal Vesicle', 'Scapula', 'Seromucous Salivary Gland', 'Skin Of The Axilla', 'Utriculosaccular Duct', 'Mediastinal Lymph Node', ""Brunner's Gland"", 'Right Fallopian Tube', 'Spleen', 'Nose', 'Head Skin', 'Right Ovary', 'Median Or Lower Cervical Lymph Node', 'Pulmonary Hilar Lymph Node', 'Thoracic Lymph Node', 'Gastrohepatic Lymph Node', 'Exocrine Gland', 'Organ of Special Sense', 'Popliteal Lymph Node', 'Skin Between the Eyebrows', 'Breast', 'Peritoneal Lymph Node', 'Intramammary Lymph Node', 'Right Adrenal Gland', 'Other', 'Parotid Gland Lymph Node', 'Gland', 'Wrist Skin', 'Paratracheal Lymph Node', 'Lymph Node of Inguinal Region or Leg', 'Skene Gland', 'Pericardial Lymph Node', 'Retrosacral Lymph Node', 'Skin Around the Eye', 'Paraaortic Lymph Node', 'Hilar Portion of the Left Hepatic Duct', 'Brachial Lymph Node', 'Submandibular Gland', 'Neck Lymph Node Boundary Level VI']",,Biospecimenhuman
specimenAge,specimenAge,SpecimenAge,The subject's age at the time of specimen extraction is the individual's age (since birth) at the time a given specimen was extracted. Measured as age in years.,True,,,,Biospecimenhuman
isPostMortem,isPostMortem,IsPostMortem,Was the sample taken after death (true/false),True,,"['Not applicable', 'TRUE', 'Other', 'Uknown', 'FALSE', 'Not collected']",,Biospecimenhuman
individualID,individualID,IndividualID,"Identifying string linked to the individual or animal being studied, provided by the data contributor",True,,,,Biospecimenhuman
tissueWeight,tissueWeight,TissueWeight,The mass of the tissue specimen. Measured in mg.,True,,"['Unknown', 'Not applicable', 'Not collected']",,Biospecimenhuman
specimenID,specimenID,SpecimenID,"Identifying string linked to a particular sample or specimen, provide by the data contributor",True,,,,Biospecimenhuman
tissueVolume,tissueVolume,TissueVolume,The volume of the tissue sample. Measured in microliters.,True,,"['Unknown', 'Not applicable', 'Not collected']",,Biospecimenhuman
nucleicAcidSource,nucleicAcidSource,NucleicAcidSource,"Specifies the type of nucleic acid (DNA, RNA, Pooled, etc.) found in a sample.",True,,"['bulk cell', 'Not applicable', 'sorted cells', 'bulk nuclei', 'Other', 'single nucleus', 'mitochondria', 'Unknown', 'single cell', 'sorted nuclei', 'Not collected']",,Biospecimenhuman
