Attribute,Description,Valid Values,DependsOn,Properties,Required,Parent,DependsOn Component,Source,Validation Rules,Module,Type,Ontology
acquisitionBatchSizeUnit,The unit of measurement for number of samples in a batch,"AFU,AI,AU/ml,DK units/ml,bpg/dl,g/l,gm,HAU,IU,iu/l,IU/ml,Kallikrein Inactivator Unit per Milliliter,kg,l,M,mg,mg/dl,mg/l,mg/ml,miu/ml,ml,mM,MOI,ng,ng/dl,ng/ml,ng/nl,ng/ul,nl,nM,Not Specified,NPX,optical density,PFU,PFUe,pg,pg/mg creatinine,pg/ml,pg/nl,pg/ul,pl,pM,Pound,TCID50,ug,ug/dl,ug/l,ug/ml,ug/ul,uiu/ml,ul,uM,umol/l,units/ml,OtherAcquisitionBatchSizeUnit",,,False,DataProperty,,Sage Bionetworks,,Assay,,
processingBatchID,"Processing batch identifier, provided by the data contributor to Sage Bionetworks. The batch identifier(s) must be stored in a data dictionary .csv file uploaded to Synapse",,,,False,DataProperty,,Sage Bionetworks,,Assay,,
processingBatchSize,The number of samples,,,,False,DataProperty,,Sage Bionetworks,,Assay,,
processingBatchSizeUnit,The unit of measurement for number of samples in a batch,"AFU,AI,AU/ml,DK units/ml,bpg/dl,g/l,gm,HAU,IU,iu/l,IU/ml,Kallikrein Inactivator Unit per Milliliter,kg,l,M,mg,mg/dl,mg/l,mg/ml,miu/ml,ml,mM,MOI,ng,ng/dl,ng/ml,ng/nl,ng/ul,nl,nM,Not Specified,NPX,optical density,PFU,PFUe,pg,pg/mg creatinine,pg/ml,pg/nl,pg/ul,pl,pM,Pound,TCID50,ug,ug/dl,ug/l,ug/ml,ug/ul,uiu/ml,ul,uM,umol/l,units/ml,OtherProcessingBatchSizeUnit",,,False,DataProperty,,Sage Bionetworks,,Assay,,
Affymetrix Genome-Wide Human SNP 6.0 Array,,,,,False,ValidValue,,,,Assay,,
Affymetrix Human Gene 1.0 ST Array,,,,,False,ValidValue,,,,Assay,,
Affymetrix Human Genome U133 Plus 2.0 Array,,,,,False,ValidValue,,,,Assay,,
Affymetrix U133AB,,,,,False,ValidValue,,,,Assay,,
DNA,,,,,False,ValidValue,,,,Assay,,
DNALibraryConstruction,,,,,False,ValidValue,,,,Assay,,
Drop-Seq,,,,,False,ValidValue,,,,Assay,,
