Attribute,Description,Valid Values,DependsOn,Properties,Required,Parent,DependsOn Component,Source,Validation Rules,Module,Type,Ontology
fieldCenterCode,Name of the field center ,"BU,PT,NY,DK,Other,Unknown,Not collected,Not applicable",,,True,DataProperty,,Sage Bionetworks,,Metadata,,
visitCode,"Indicate which longitudinal visit for the individual the data comes from, provided by the data contributor's data dictionary",,,,True,DataProperty,,Sage Bionetworks,str,Metadata,,
countryCode,"Indicate the geographic region for the individual (shown as ex. ""840"")","000,004,008,010,012,016,020,024,028,031,032,036,040,044,048,050,051,052,056,058,060,064,068,070,072,074,076,080,084,086,090,092,096,100,104,108,112,116,120,124,132,136,140,144,148,152,156,162,166,170,174,175,178,180,184,188,191,192,196,200,203,204,208,212,214,218,222,226,230,231,232,233,234,238,239,242,246,250,254,258,260,262,266,268,270,275,276,278,288,292,296,300,304,308,312,316,320,324,328,332,334,336,340,344,348,352,356,360,364,368,372,376,380,384,388,392,398,400,404,408,410,414,417,418,422,426,428,430,434,440,442,446,450,454,458,462,466,470,474,478,480,484,490,492,496,498,499,500,504,508,512,516,520,524,528,530,531,533,534,535,536,540,548,554,558,562,566,570,574,578,580,581,582,583,584,585,586,591,598,600,604,608,612,616,620,624,626,634,638,642,643,646,654,659,660,662,666,670,674,678,682,686,690,694,702,703,704,705,706,710,716,720,724,728,729,732,736,740,748,752,756,760,762,764,768,772,776,780,784,788,792,795,796,798,800,804,807,810,818,826,834,837,838,839,840,849,854,858,860,862,876,882,887,890,891,894,898,EAS,EAS,ECS,LCN,LCN,MEA,MEA,NAC,Not applicable,Not collected,Other,SAS,SAS,SSF,SSF,Unknown",,,True,DataProperty,,https://wits.worldbank.org/countryprofile/metadata/en/country/all,,Metadata,,
consentGroupID,"Indicate the consent group for the individual, provided by the data contributor's data dictionary","1,2,3",,,True,DataProperty,,Sage Bionetworks,,Metadata,,
speciesGroup,The taxonomic ranking including both species and subspecies the individual belongs to.,"Human,Rodent,Bird,Mammal,Primate,Other,Unknown,Not collected,Not applicable",,,True,DataProperty,,",https://ontobee.org/ontology/NCITiri=http://purl.obolibrary.org/obo/NCIT_C62690https://www.ebi.ac.uk/ols/ontologies/edam/termsiri=http%3A%2F%2Fedamontology.org%2Fdata_1045",,Metadata,,
sex,The biological sex of the individual,"Male,Female,Other,Unknown,Not collected,Not applicable",,,True,DataProperty,,"Sage Bionetworks,https://www.synapse.org/#!Synapse:syn25878249",,Metadata,,
race,Race of individual,"White,Black or African American,Asian,American Indian or Alaska Native,Native Hawaiian or Other Pacific Islander,Multiracial,Other race,Prefer not to answer,Unknown,Not collected,Not applicable",,,True,DataProperty,,"Sage Bionetworks,https://jamanetwork.com/pages/inclusive-language,https://thesaurus.cancer.gov/ncitbrowser/pages/home.jsfversion=23.04d,https://www.synapse.org/#!Synapse:syn25878249",,Metadata,,
ethnicity,Ethnicity of individual,"Not Hispanic or latino,Hispanic or latino,Prefer not to answer,Other,Unknown,Not collected,Not applicable",,,True,DataProperty,,"Sage Bionetworks,https://www.synapse.org/#!Synapse:syn25878249",,Metadata,,
ethnicGroupCode,"A coded value specifying the self-declared ethnic origination independent of racial origination, provided by the data contributor's data dictionary",,,,False,DataProperty,,https://ncithesaurus.nci.nih.gov/ncitbrowser/pages/concept_details.jsfdictionary=NCI_Thesaurus&version=23.04d&code=C93563&ns=ncit&type=properties&key=1040179992&b=1&n=0&vse=null,,Metadata,,
age,"Age of the individual (age in years of the individual at first recorded study event (enrollment, visit, observation, sample collection, survey completion, etc.)",,,,True,DataProperty,,",Sage Bionetworks",regex search^\d*?\.?\d$|Unknown|Not collected|Not applicable,Metadata,,
diagnosisStatus,"Whether the individual has been diagnosed with a condition or disease (physical and/or cognitive), ""True"" indicates the individual has been diagnosed","TRUE,FALSE,Unknown,Not collected,Not applicable",,,True,DataProperty,,Sage Bionetworks,,Metadata,,
