Attribute,Description,Valid Values,Required,DependsOn,DependsOn Component,Properties,Validation Rules,Template,Parent,Source,Type,Ontology,multivalue,UsedIn,module
specifyPlatformVersion,"If ""other"" list the name of the platform version",,False,,,DataProperty,,"Metabolomics Human,Microbiome,Proteomics,RNAseq,Whole Genome Sequencing,bsSeq,scRNAseq",Specification,Sage Bionetworks,STRING,Sage Bionetworks,False,,
specifyProcessingBatchSizeUnit,"If ""other"" list units of measure",,False,,,DataProperty,,Metabolomics Human,Specification,Sage Bionetworks,STRING,Sage Bionetworks,,,
specifyProteomicsAssayType,"If ""other"" is selected list the name of the type of peptide quantification used",,False,,,DataProperty,,Proteomics,Specification,Sage Bionetworks,STRING,Sage Bionetworks,False,,
specifyRNABatchSizeUnit,"If ""other"" list unit of measure",,False,,,DataProperty,,scRNAseq,Specification,Sage Bionetworks,STRING,Sage Bionetworks,False,,
specifyReadLengthUnits,"If ""other"" provide the unit of measure",,False,,,DataProperty,,"Microbiome,RNAseq,Whole Genome Sequencing,bsSeq,scRNAseq",Specification,Sage Bionetworks,STRING,Sage Bionetworks,False,,
specifyRepositoryName,"If ""other"" list the name of the repository",,False,,,DataProperty,,"RNAseq,Whole Genome Sequencing,scRNAseq",Specification,Sage Bionetworks,STRING,Sage Bionetworks,False,,
specifySampleBatchSizeUnits,"If ""other"" list the unit of measure",,False,,,DataProperty,,Metabolomics Human,Specification,Sage Bionetworks,STRING,Sage Bionetworks,,,
specifySampleIntroduction,"If ""other"" list the name of the sample introduction",,False,,,DataProperty,,Metabolomics Human,Specification,Sage Bionetworks,STRING,Sage Bionetworks,,,
specifySampleType,"If ""other"" is selected list the type of sample",,False,,,DataProperty,,"Genotyping,Metabolomics Human,Microbiome,Proteomics,RNAseq,Whole Genome Sequencing,bsSeq,scRNAseq",Specification,Sage Bionetworks,STRING,Sage Bionetworks,False,,
specifySequencingBatchSizeUnit,"If ""other"" list unit of measure",,False,,,DataProperty,,"Microbiome,bsSeq,scRNAseq",Specification,Sage Bionetworks,STRING,Sage Bionetworks,False,,
specifyTranscriptType,"If ""other"" list the transcript type",,False,,,DataProperty,,"RNAseq,Whole Genome Sequencing,scRNAseq",Specification,Sage Bionetworks,STRING,Sage Bionetworks,False,,
specifyVacuumPressueUnits,"If ""other"" provide the unit of measure",,False,,,DataProperty,,Metabolomics Human,Specification,Sage Bionetworks,STRING,Sage Bionetworks,,,
