Attribute,Description,Valid Values,Required,Module,multivalue,columnType,Ontology,Notes,Unnamed: 9,Unnamed: 10,Properties,UsedIn,DependsOn,Parent
sampleType,The type of sample collected,"Amniotic Fluid,Appendix,B cell,Basophils,Bone,Bone Marrow,Brachial lymph node,brain,Breast Milk,Bronchoalveolar Lavage Fluid,Carbohydrate,Cell culture supernatant,cell line,Cerebrospinal Fluid,Cervical lymph nodes,Colon,Colonic Lamina Propria,Convalescent Plasma,Cord blood,Dendritic cell,Dermis,DNA,Dried Blood Spot,Endotracheal aspirate,Epithelium,Feces,Fibroblast,Gastric lamina propria,Ileum,Inguinal lymph node,Jejunum,Kidney,Leukocytes,Lipid,Liver,Lung,Lung lymph node,Lymph node,Lymphocyte,Macrophage,Mesenteric lymph node,Monocyte,Mouse Ear,Nasal lavage fluid,Nasal Swab,Nasal Swab or Nose Specimen,Nasopharyngeal Swab Specimen,Negative Control,Neutrophil,NK cell,Not Specified,Optic Nerve,Organoids,Oropharyngeal Swab Specimen,Osteoblasts,,Pancreas,Pancreatic Stellate Cells,PBL,PBMC,Placenta,Plasma,Pooled Sample,Popliteal lymph node,Positive Control,Protein,Rectal Swab Specimen,Red Blood Cell,Saliva,Salivary Glands,Serum,Skin of body,Small intestine,Spleen,Sputum,Stomach,Synovial fluid,Synovial tissue,T cell,Thymus,Tonsil,Trachea,Tumor Tissue,Umbilical cord blood,Urinary bladder,Urine,Vagina,Whole blood",True,scRNAseq,False,STRING,"Sage Bionetworks, ImmPort","The sample types are adopted from Uberon, Cell and CHEBI ontologies.",,,ManifestColumn,scRNAseq,,
scRNAseq,Template for scRNAseq,,False,Template,,,Sage Bionetworks,,,,,,"Filename,specimenID,sampleType,specifySampleType,measurementTechnique,specifyMeasurementTechnique,technologyPlatformVersion,specifyPlatformVersion,platformLocation,specifyPlatformLocation,referenceTranscriptID,repositoryName,specifyRepositoryName,transcriptType,specifyTranscriptType,resultUnit,valueReported,rnaBatchID,rnaBatchSize,rnaBatchSizeUnit,specifyRNABatchSizeUnit,libraryBatchID,sequencingBatchID,sequencingBatchSize,sequencingBatchSizeUnit,specifySequencingBatchSizeUnit,libraryPrep,specifyLibraryPrep,libraryPreparationMethod,specifyLibraryPreparationMethod,libraryVersion,specifyLibraryVersion,isStranded,readStrandOrigin,readLength,readLengthUnits,specifyReadLengthUnits,runType,totalReads,Component",Component
sequencingBatchID,"Sequencing batch identifier, provided by the data contributor to Sage Bionetworks. The batch identifier(s) must be stored in a data dictionary .csv file uploaded to Synapse",,True,scRNAseq,False,STRING,Sage Bionetworks,,,,ManifestColumn,scRNAseq,,
sequencingBatchSize,The number of samples,,True,scRNAseq,False,NUMBER,Sage Bionetworks,,,,ManifestColumn,scRNAseq,,
sequencingBatchSizeUnit,The unit of measurement for number of samples in a batch,,True,"scRNAseq, sequencingBatchSize",False,STRING,Sage Bionetworks,,,,ManifestColumn,scRNAseq,,
specifyLibraryPrep,"If ""other"" list the name of the general strategy used to prepare the library",,False,"RNAseq, libraryPrep = other",False,STRING,Sage Bionetworks,,,,ManifestColumn,scRNAseq,,
specifyLibraryPreparationMethod,"If ""other"" list the name of the library preparation methods",,False,"scRNAseq, libraryPreparationMethod = other",False,STRING,Sage Bionetworks,,,,ManifestColumn,scRNAseq,,
specifyLibraryVersion,"If ""other"" list the name of the library version",,False,"scRNAseq, libraryVersion = other",False,STRING,Sage Bionetworks,,,,ManifestColumn,scRNAseq,,
specifyMeasurementTechnique,"If ""other"" is selected list the name of the measurement technique used",,False,"scRNAseq, measurementTechnique = other",False,STRING,Sage Bionetworks,,,,ManifestColumn,scRNAseq,,
specifyPlatformLocation,"If ""other"" list the name of the platform location",,False,"scRNAseq, platformLocation = other",False,STRING,Sage Bionetworks,,,,ManifestColumn,scRNAseq,,
specifyPlatformVersion,"If ""other"" list the name of the platform version",,False,"scRNAseq, technologyPlatformVersion = other",False,STRING,Sage Bionetworks,,,,ManifestColumn,scRNAseq,,
specifyReadLengthUnits,"If ""other"" provide the unit of measure",,False,"scRNAseq, readLengthUnits = other",False,STRING,Sage Bionetworks,,,,ManifestColumn,scRNAseq,,
specifyRepositoryName,"If ""other"" list the name of the repository",,False,"scRNAseq, repositoryName = other",False,STRING,Sage Bionetworks,,,,ManifestColumn,scRNAseq,,
specifyRNABatchSizeUnit,"If ""other"" list unit of measure",,False,"scRNAseq, rnaBatchSizeUnit = other",False,STRING,Sage Bionetworks,,,,ManifestColumn,scRNAseq,,
specifySampleType,"If ""other"" is selected list the type of sample",,False,"scRNAseq, sampleType = other",False,STRING,Sage Bionetworks,,,,ManifestColumn,scRNAseq,,
specifySequencingBatchSizeUnit,"If ""other"" list unit of measure",,False,"scRNAseq, sequencingBatchSizeUnit = other",False,STRING,Sage Bionetworks,,,,ManifestColumn,scRNAseq,,
specifyTranscriptType,"If ""other"" list the transcript type",,False,"scRNAseq, transcriptType = other",False,STRING,Sage Bionetworks,,,,ManifestColumn,scRNAseq,,
specimenID,"Identifying string linked to a particular sample or specimen, provided by the data contributor",,True,"scRNAseq, Biospecimen",False,STRING,Sage Bionetworks,,,Sage Bionetworks,ManifestColumn,scRNAseq,,
technologyPlatformVersion,"The specific version (application, manufacturer, model, lab, etc.) of a technology that is used to carry out a laboratory or computational experiment.","10x Visium Spatial Gene Expression,Affymetrix Genome-Wide Human SNP 5.0 Array,Affymetrix Genome-Wide Human SNP 6.0 Array,Affymetrix Human Gene 1.0 ST Array,Affymetrix Human Genome U133 Plus 2.0 Array,Affymetrix U133AB,Agilent 44Karray,BGISEQ-500,Bionano Irys,Cherry Imaging FACE Platform,Cherry Imaging TRACE Platform,Chromium X,EnVision 2103 Multiplate Reader,Illumina 1M,Illumina Genome Analyzer IIx,Illumina h650,Illumina HiSeq 2000,Illumina HiSeq 2500,Illumina HiSeq 3000,Illumina HiSeq 4000,Illumina HiSeq X,Illumina Human660W-Quad v1.0 BeadChip,Illumina HumanHap300,Illumina HumanMethylation450,Illumina HumanOmni1-Quadv1.0,Illumina HumanOmniExpress-24 v1.0 BeadChip,Illumina HumanOmniExpress-24 v1.2 BeadChip,Illumina Infinium MethylationEPIC BeadChip v1.0 (850k),Illumina Infinium MethylationEPIC BeadChip v2.0 (935k) Illumina MiSeq,Illumina MouseWG-6 v2.0 expression BeadChip,Illumina NextSeq 1000,Illumina NextSeq 2000,Illumina NextSeq 500,Illumina NextSeq 550,Illumina NovaSeq 6000,Illumina Omni2pt5M,Illumina Omni5M,Illumina WholeGenome DASL,Infinium HumanOmniExpressExome,LI-COR Odyssey CLx,LifeViz Infinity System,LifeViz Micro System,LTQ Orbitrap XL,Nanostring Counter,Nanostring GeoMx,Olympus DP80,Orbitrap Fusion Lumos Tribrid,PacBio RS II,PacBio Sequel II System,PacBio Sequel IIe System,Perlegen 300Karray,Promega GloMax Discover,Q Exative HF,scale,Spectramax M Series,Vectra H1 3D Imaging System,Vevo 3100 Imaging System,Zeiss LSM 980",True,scRNAseq,False,STRING,http://purl.obolibrary.org/obo/NCIT_C45378,,,,ManifestColumn,scRNAseq,,
totalReads,Total number of sequencing reads from a library.,,True,scRNAseq,False,NUMBER,Sage Bionetworks,,,,ManifestColumn,scRNAseq,,
transcriptType,The type of transcript reported,"lincRNA,mRNA,snRNA",True,scRNAseq,False,STRING,ImmPort,,,,ManifestColumn,scRNAseq,,
valueReported,The count or gene count for the transcript,,True,scRNAseq,False,NUMBER,Sage Bionetworks,,,,ManifestColumn,scRNAseq,,
