Attribute,Description,Valid Values,Required,Module,multivalue,columnType,Ontology,Notes,Properties,UsedIn,DependsOn,Parent
msAssayTechnique,"Specified the mass spectrometer technique used or the name of the proteomics assay used (ex. DDA)Provide a value OR provide one of these values: Unknown Not collected, Not applicable, Not specified",,True,metabolomics,False,STRING,"Sage Bionetworks, DSLWG","A data contributor should be able to write in a name OR provide one of these values: Unknown Not collected, Not applicable, Not specified",ManifestColumn,Metabolomics,,
msTarget,Specifies whether or not a specific molecule(s) is/are targeted for detection/measurement by the assay,"Targeted,Untargeted",True,metabolomics,False,STRING,Sage Bionetworks,,ManifestColumn,Metabolomics,,
platformLocation,"The name of the laboratory, facility, vendor, company, or location where the data generation platform was located, provided by the data contributor.Provide a value OR provide one of these values: Unknown Not collected, Not applicable, Not specified",,True,metabolomics,True,STRING,,"A data contributor should be able to write in a name OR provide one of these values: Unknown Not collected, Not applicable, Not specified",ManifestColumn,Metabolomics,,
processingBatchID,"Processing batch identifier, provided by the data contributor to Sage Bionetworks. The batch identifier(s) must be stored in a data dictionary .csv file uploaded to Synapse",,False,metabolomics,False,STRING,Sage Bionetworks,,ManifestColumn,Metabolomics,,
processingBatchSize,The number of samples,,False,metabolomics,False,STRING,Sage Bionetworks,,ManifestColumn,Metabolomics,,
processingBatchSizeUnit,The unit of measurement for number of samples in a batch,,False,"metabolomics, processingBatchSize",False,STRING,Sage Bionetworks,,ManifestColumn,Metabolomics,,
sampleBatchID,"Sample batch lot identifier, provided by the data contributor to Sage Bionetworks. The batch identifier(s) must be stored in a data dictionary .csv file uploaded to Synapse",,False,metabolomics,False,STRING,http://purl.obolibrary.org/obo/MS_1000053,,ManifestColumn,Metabolomics,,
sampleBatchSize,The number of samples,,False,metabolomics,False,STRING,Sage Bionetworks,,ManifestColumn,Metabolomics,,
sampleBatchSizeUnit,The unit of measurement for number of samples in a batch,,False,"metabolomics, sampleBatchSize",False,STRING,Sage Bionetworks,,ManifestColumn,Metabolomics,,
sampleIntroduction,"The sample introduction and delivery. From GC, from LC, direct infusion without chromatography, direct infusion using dedicated autosampler flow rate.Provide a value OR provide one of these values: Unknown Not collected, Not applicable, Not specified",,True,metabolomics,False,STRING,"Sage Bionetworks, Proposed minimum metadata relative to mass spectrometry","A data contributor should be able to write in a name OR provide one of these values: Unknown Not collected, Not applicable, Not specified",ManifestColumn,Metabolomics,,
samplePrepProtocol,"An internet address that may provide more details of the protocol information (web link).Provide a value OR provide one of these values: Unknown Not collected, Not applicable, Not specified",,True,metabolomics,False,STRING,Sage Bionetworks,"A data contributor should be able to write in a name OR provide one of these values: Unknown Not collected, Not applicable, Not specified",ManifestColumn,Metabolomics,,
sampleType,"The type of sample collected or the term used to describe the source of a biospecimen used for a laboratory test.Provide a value OR provide one of these values: Unknown Not collected, Not applicable, Not specified",,True,metabolomics,False,STRING,Sage Bionetworks,"A data contributor should be able to write in a name OR provide one of these values: Unknown Not collected, Not applicable, Not specifiedThe sample types are adopted from Uberon, Cell and ChEBI ontologies.",ManifestColumn,Metabolomics,,
specimenID,"Identifying string linked to a particular sample or specimen, provided by the data contributor",,True,"Biospecimen, metabolomics",False,STRING,Sage Bionetworks,values unique to each data contributor),ManifestColumn,Metabolomics,,
spectrometerFrequency,The frequency at which a spectrometer causes hydrogen atoms to resonate (in MHz),,False,metabolomics,False,NUMBER,Sage Bionetworks,,ManifestColumn,Metabolomics,,
technologyPlatformVersion,"The specific version (application, manufacturer, model, lab, etc.) of a technology that is used to carry out a laboratory or computational experiment.Provide a value OR provide one of these values: Unknown Not collected, Not applicable, Not specified",,True,metabolomics,True,STRING,"Sage Bionetworks, DSLWG","A data contributor should be able to write in a name OR provide one of these values: Unknown Not collected, Not applicable, Not specified",ManifestColumn,Metabolomics,,
vacuumPressure,The recorded vacuum pressure value,,False,"metabolomics, hasIonizationSource? = Yes",False,NUMBER,"Sage Bionetworks, Proposed minimum metadata relative to mass spectrometry",,ManifestColumn,Metabolomics,,
vacuumPressureUnit,Unit of vacuum pressure value,"AFU,AI,AU/ml,DK units/ml,bp g/dl,g/l,gm,HAU,IU,iu/l,IU/ml,Kallikrein Inactivator Unit per Milliliter,kg,l,M,mg,mg/dl,mg/l,mg/ml,miu/ml,ml,mM,MOI,ng,ng/dl,ng/ml,ng/nl,ng/ul,nl,nM,Not Specified,NPX,optical density,PFU,PFUe,pg,pg/mg creatinine,pg/ml,pg/nl,pg/ul,pl,pM,Pound,TCID50,ug,ug/dl,ug/l,ug/ml,ug/ul,uiu/ml,ul,uM,umol/l,units/ml",False,"metabolomics, hasIonizationSource? = Yes, vaccuumPressure",False,STRING,"Sage Bionetworks, Proposed minimum metadata relative to mass spectrometry",,ManifestColumn,Metabolomics,,
