,Attribute,Description,Valid Values,DependsOn,Properties,Required,Parent,DependsOn Component,Source,Validation Rules
17,libraryPreparationMethod,Method by which library was prepared,"10x,Accel-NGS 2S Plus,Accel-NGS Methyl-Seq,CEL-seq,Drop-Seq,NEBNext,NexteraXT,Omni-ATAC,sac-seq,Smart-seq1,Smart-seq2,Smart-seq4,SMRTbell,TruSeq,Ultralow Methyl-Seq,OtherLibraryPreparationMethod,Unknown,Not collected,Not applicable,Not Specified",,dataProperty,True,,,Sage Bionetworks,
18,specifyLibraryPreparationMethod,"If ""other"" list the name of the library preparation methods",,,dataProperty,False,,,Sage Bionetworks,
19,libraryVersion,"Library Version: for example, rnaSeq 10x library version","OtherLibraryVersion,Unknown,Not collected,Not applicable,Not Specified",,dataProperty,True,,,Sage Bionetworks,
20,specifyLibraryVersion,"If ""other"" list the name of the library version",,,dataProperty,False,,,Sage Bionetworks,
21,sequencingBatchID,"Sequencing batch identifier, provided by the data contributor to Sage Bionetworks. The batch identifier(s) must be stored in a data dictionary .csv file uploaded to Synapse","Unknown,Not collected,Not applicable,Not Specified",,dataProperty,True,,,Sage Bionetworks,
22,sequencingBatchSize,The number of samples,,,dataProperty,True,,,Sage Bionetworks,
23,sequencingBatchSizeUnit,The unit of measurement for number of samples in a batch,"AFU,AI,AU/ml,DK units/ml,bpg/dl,g/l,gm,HAU,IU,iu/l,IU/ml,Kallikrein Inactivator Unit per Milliliter,kg,l,M,mg,mg/dl,mg/l,mg/ml,miu/ml,ml,mM,MOI,ng,ng/dl,ng/ml,ng/nl,ng/ul,nl,nM,Not Specified,NPX,optical density,PFU,PFUe,pg,pg/mg creatinine,pg/ml,pg/nl,pg/ul,pl,pM,Pound,TCID50,ug,ug/dl,ug/l,ug/ml,ug/ul,uiu/ml,ul,uM,umol/l,units/ml,OtherSequencingBatchSizeUnit",,dataProperty,True,,,Sage Bionetworks,
24,specifySequencingBatchSizeUnit,"If ""other"" list unit of measure",,,dataProperty,False,,,Sage Bionetworks,
25,isStranded,Whether or not the library is stranded.,"TRUE,FALSE",,dataProperty,True,,,Sage Bionetworks,
26,readStrandOrigin,The strand from which the read originates in a strand-specific protocol,Forwardreverse,,dataProperty,True,,,Sage Bionetworks,
27,readLength,The length of the read,,,dataProperty,True,,,Sage Bionetworks,
28,readLengthUnits,The units of measurement.,"AFU,AI,AU/ml,DK units/ml,bpg/dl,g/l,gm,HAU,IU,iu/l,IU/ml,Kallikrein Inactivator Unit per Milliliter,kg,l,M,mg,mg/dl,mg/l,mg/ml,miu/ml,ml,mM,MOI,ng,ng/dl,ng/ml,ng/nl,ng/ul,nl,nM,Not Specified,NPX,optical density,PFU,PFUe,pg,pg/mg creatinine,pg/ml,pg/nl,pg/ul,pl,pM,Pound,TCID50,ug,ug/dl,ug/l,ug/ml,ug/ul,uiu/ml,ul,uM,umol/l,units/ml,OtherReadLengthUnits",,dataProperty,True,,,Sage Bionetworks,
29,specifyReadLengthUnits,"If ""other"" provide the unit of measure",,,dataProperty,False,,,Sage Bionetworks,
30,runType,The type of run,singleEndpairedEnd,,dataProperty,True,,,Sage Bionetworks,
31,totalReads,Total number of sequencing reads from a library.,,,dataProperty,True,,,Sage Bionetworks,
32,directionalBSseqLibrary,Indicates whether or not the bisulfiteSeq library is directional,"True,False,Unknown,Not collected,Not applicable",,dataProperty,True,,,Sage Bionetworks,
33,gDNAconc,gDNA Concentration in ng,,,dataProperty,True,,,Sage Bionetworks,
34,lambdaDNAconc,Lambda DNA spike-in concentration in ng,,,dataProperty,True,,,Sage Bionetworks,
35,pcrCycles,Number of PCR cycles to amplify transposased DNA fragments,,,dataProperty,True,,,Sage Bionetworks,
36,meanCoverage,Total number of bases covered by ATAC-seq reads/size of genome,,,dataProperty,True,,,Sage Bionetworks,
37,conversionRatio,The ratio or % detailing how well the bisulfite conversion worked,,,dataProperty,True,,,Sage Bionetworks,
38,conversionRatioUnits,The units of measurement.,"AFU,AI,AU/ml,DK units/ml,bpg/dl,g/l,gm,HAU,IU,iu/l,IU/ml,Kallikrein Inactivator Unit per Milliliter,kg,l,M,mg,mg/dl,mg/l,mg/ml,miu/ml,ml,mM,MOI,ng,ng/dl,ng/ml,ng/nl,ng/ul,nl,nM,Not Specified,NPX,optical density,PFU,PFUe,pg,pg/mg creatinine,pg/ml,pg/nl,pg/ul,pl,pM,Pound,TCID50,ug,ug/dl,ug/l,ug/ml,ug/ul,uiu/ml,ul,uM,umol/l,units/ml,OtherConversionRatioUnits",,dataProperty,True,,,Sage Bionetworks,
39,specifyConversionRatioUnit,"If ""other"" list unit of measure",,,dataProperty,False,,,Sage Bionetworks,
40,enrichmentMethod,The method used for performing an enrichment of specific regions by a restriction enzyme digest,"Other,Unknown,Not collected,Not applicable",,dataProperty,True,,,Sage Bionetworks,
41,specifyEnrichmentMethod,"If ""other"" list the method used for enrichment",,,dataProperty,False,,,Sage Bionetworks,
42,repositoryName,"The public repository name for the transcript (for example, Ensembl or NCBI Gene)","ArrayExpress,Broad Single Cell Portal,dbGAP,ENA,Ensembl,FlowRepository,GenBank,GEO,GISAID,IEDB,ImmPort,MassIVE,MetaboLights,Metabolomics Workbench,MGnify,NCBI Gene,PRIDE,SRA,UniProt,OtherRepositoryName,Unknown,Not collected,Not applicable,Not Specified",,dataProperty,True,,,Sage Bionetworks,
43,specifyRepositoryName,"If ""other"" list the name of the repository",,,dataProperty,False,,,Sage Bionetworks,
44,transcriptType,The type of transcript reported,"lincRNA,mRNA,snRNA,OtherTranscriptType,Unknown,Not collected,Not applicable,Not Specified",,dataProperty,True,,,ImmPort,
45,specifyTranscriptType,"If ""other"" list the transcript type",,,dataProperty,False,,,Sage Bionetworks,
46,resultUnit,The unit for the result value,"FPKM,RPKM,TPM,Not Specified",,dataProperty,True,,,Sage Bionetworks,
47,valueReported,The count or gene count for the transcript,,,dataProperty,True,,,Sage Bionetworks,
48,rnaBatchID,"RNA isolation batch identifier, provided by the data contributor to Sage Bionetworks. The batch identifier(s) must be stored in a data dictionary .csv file uploaded to Synapse","Unknown,Not collected,Not applicable,Not Specified",,dataProperty,True,,,Sage Bionetworks,
49,rnaBatchSize,The number of samples,,,dataProperty,False,,,Sage Bionetworks,
50,rnaBatchSizeUnit,The unit of measurement for number of samples in a batch,"AFU,AI,AU/ml,DK units/ml,bpg/dl,g/l,gm,HAU,IU,iu/l,IU/ml,Kallikrein Inactivator Unit per Milliliter,kg,l,M,mg,mg/dl,mg/l,mg/ml,miu/ml,ml,mM,MOI,ng,ng/dl,ng/ml,ng/nl,ng/ul,nl,nM,Not Specified,NPX,optical density,PFU,PFUe,pg,pg/mg creatinine,pg/ml,pg/nl,pg/ul,pl,pM,Pound,TCID50,ug,ug/dl,ug/l,ug/ml,ug/ul,uiu/ml,ul,uM,umol/l,units/ml,OtherRnaBatchSizeUnit",,dataProperty,True,,,Sage Bionetworks,
51,specifyRNABatchSizeUnit,"If ""other"" list unit of measure",,,dataProperty,False,,,Sage Bionetworks,
52,useReagent,Was a reagent applied to the sample,"YesUseReagent,No",,dataProperty,True,,,"Sage Bionetworks,ImmPort",
53,reagentID(s),"One or more identifiers, separated by a semicolon (;). The reagent identifier(s) must be stored in a data dictionary .csv file uploaded to Synapse",,,dataProperty,False,,,"Sage Bionetworks,ImmPort",
54,reagentName,The reagent name is an alternative to the Reagent ID,,,dataProperty,False,,,"Sage Bionetworks,ImmPort",
55,reagentManufacturer,"The manufacturer is the source of a reagent and may include commercial vendors as well as non-commercial sources (e.g., collaborating labs)",,,dataProperty,False,,,"Sage Bionetworks,ImmPort",
56,reagentCatalogNumber,"If the assay reagent is a commercial product, enter the vendor's catalog identifier. If the reagent is a custom preparation enter 'NA'. ",,,dataProperty,False,,,"Sage Bionetworks,ImmPort",
57,reagentLotNumber,The lot number is often provided by a reagent source when the reagent is replenished over time.,,,dataProperty,False,,,"Sage Bionetworks,ImmPort",
58,reagentWeblink,An internet address that may provide details of an assay reagent.,,,dataProperty,False,,,"Sage Bionetworks,ImmPort",
59,reagentContact,The contact information is particularly helpful when the reagent is not from a commercial vendor.,,,dataProperty,False,,,"Sage Bionetworks,ImmPort",
60,useTreatment,Was a treatment applied to the sample,"YesUseTreatment,No",,dataProperty,True,,,"Sage Bionetworks,ImmPort",
61,treatmentID(s),"One or more identifiers, separated by a semicolon (;). The treatment identifier(s) must be stored in a data dictionary .csv file uploaded to Synapse",,,dataProperty,False,,,"Sage Bionetworks,ImmPort",
62,treatmentName,"Treatments refer to in vitro modifications of samples. Three treatment types are supported: agent amount, duration, and temperature.  Treatment name is an alternate identifier to the Treatment ID ",,,dataProperty,False,,,"Sage Bionetworks,ImmPort",
63,treatmentAmountValue,"The Amount Value indicates how much (concentration, mass, volume) of a treatment agent was applied to a sample.",,,dataProperty,False,,,"Sage Bionetworks,ImmPort",
64,treatmentAmountUnit,Unit of treatment amount,"AFU,AI,AU/ml,DK units/ml,g/dl,g/l,gm,HAU,IU,iu/l,IU/ml,Kallikrein Inactivator Unit per Milliliter,kg,l,M,mg,mg/dl,mg/l,mg/ml,miu/ml,ml,mM,MOI,ng,ng/dl,ng/ml,ng/nl,ng/ul,nl,nM,Not Specified,NPX,optical density,PFU,PFUe,pg,pg/mg creatinine,pg/ml,pg/nl,pg/ul,pl,pM,Pound,TCID50,ug,ug/dl,ug/l,ug/ml,ug/ul,uiu/ml,ul,uM,umol/l,units/ml",,dataProperty,False,,,"Sage Bionetworks,ImmPort",
65,treatmentDurationValue,Duration of treatment,,,dataProperty,False,,,,
66,treatmentDurationUnit,Unit of treatment duration,"d.p.c.,Days,Hours,Minutes,Months,Not Specified,Seconds,Weeks,Years",,dataProperty,False,,,"Sage Bionetworks,ImmPort",
67,treatmentTemperatureValue,Value of treatment temperature,,,dataProperty,False,,,"Sage Bionetworks,ImmPort",
68,treatmentTemperatureUnit,Unit of treatment temperature,"C,F,K,Not Specified",,dataProperty,False,,,"Sage Bionetworks,ImmPort",
69,msTarget,specifies whether or not a specific molecule(s) is/are targeted for detection/measurement by the assay,"TargetedMsTarget,UnTargetedMsTarget,Unknown,Not collected,Not applicable,Not Specified",,dataProperty,True,,,Sage Bionetworks,
70,msAnalyzerTypeMS1,"Describes the mass spectrometer analyzer used to read out parent ions (quadrupole, ion-trap, time-of-flight, FT-ICR, including combinations of these for hybrid instruments)","LTQ Orbitrap XL,Orbitrap Fusion,Orbitrap Fusion Lumos,Q Exactive,Q Exactive HF,Q Exactive HF-X,Q Exactive Plus,Exploris 240Exploris 480quadrupole time-of-flight,time-of-flight,triple quadrupole,Xevo G2 QTOF,Xevo TQ-S,Bruker Avance IIITimsTOF ProOtherMsAnalyzerTypeMS1,Unknown,Not collected,Not applicable,Not Specified",,dataProperty,True,,,"Sage Bionetworks,Proposed minimum metadata relative to mass spectrometry ",
71,specifyMSAnalyzerTypeMS1,"If ""other"" is selected list the name of the mass spectrometer analyzer used",,,dataProperty,False,,,Sage Bionetworks,
72,msAnalyzerTypeMS2,"Describes the mass spectrometer analyzer used to read out fragment ions(quadrupole, ion-trap, time-of-flight, FT-ICR, including combinations of these for hybrid instruments)","LTQ Orbitrap XL,Orbitrap Fusion,Orbitrap Fusion Lumos,Q Exactive,Q Exactive HF,Q Exactive HF-X,Q Exactive Plus,Exploris 240Exploris 480quadrupole time-of-flight,time-of-flight,triple quadrupole,Xevo G2 QTOF,Xevo TQ-S,Bruker Avance IIITimsTOF ProOtherMsAnalyzerTypeMS2,Unknown,Not collected,Not applicable,Not Specified",,dataProperty,True,,,"Sage Bionetworks,Proposed minimum metadata relative to mass spectrometry ",
73,specifyMSAnalyzerTypeMS2,"If ""other"" is selected list the name of the mass spectrometer analyzer used",,,dataProperty,False,,,Sage Bionetworks,
74,msAssayTechnique,Specified the mass spectrometer technique used,"DDA-MS,DIA-MS,FIA-MSMS,HPLC-MSMS,LC-MS,LC-MSMS,MDMS-SL,MIB-MS,UPLC-MSMS,UPLC-ESI-QTOF-MS,LC-SRMOtherMsAssayTechnique,Unknown,Not collected,Not applicable,Not Specified",,dataProperty,True,,,"Sage Bionetworks,DSLWG",
75,specifyMSAssayTechnique,"If ""other"" is selected list the name of the mass spectrometer technique used or the name of the proteomics assay used",,,dataProperty,False,,,Sage Bionetworks,
76,msAnalyteType,the type of biospecimen subjected to analysis,"Protein,metabolite,Lipid,Other,Unknown,Not collected,Not applicable,Not Specified",,dataProperty,False,,,http://purl.obolibrary.org/obo/NCIT_C156434,
77,specifyMSAnalyteType,"If ""other"" list the type of analyte ",,,dataProperty,False,,,Sage Bionetworks,
78,msInstrumentModel,The model of the mass spectrometer  used,"Possible values are listed under the instrument model term.OtherMsInstrumentModel,Unknown,Not collected,Not applicable,Not Specified",,dataProperty,True,,,"Sage Bionetworks,Proposed minimum metadata relative to mass spectrometry  ",
79,specifyMSInstrumentModel,"If ""other"" is selected list the name of the instrument model",,,dataProperty,False,,,Sage Bionetworks,
80,sampleIntroduction,"The sample introduction and delivery. From GC, from LC, direct infusion without chromatography, direct infusion using dedicated autosampler flow rate.","Other,Unknown,Not collected,Not applicable,Not Specified",,dataProperty,True,,,"Sage Bionetworks,Proposed minimum metadata relative to mass spectrometry  ",
81,specifySampleIntroduction,"If ""other"" list the name of the sample introduction",,,dataProperty,False,,,Sage Bionetworks,
82,extractionMethod,The name of the process used to separate a desired component of an input material from the remainder,"Unknown,Not collected,Not applicable,Not Specified",,dataProperty,True,,,http://purl.obolibrary.org/obo/OBI_0302884,
83,acquisitionMode,"The specific aspect of a mass spectrometer method by which mass ranges are selected and possibly dissociated (full scan, MSn, SIM, MRM, etc.).","Unknown,Not collected,Not applicable,Not Specified",,dataProperty,True,,,https://www.ebi.ac.uk/ols/ontologies/ms/termsiri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FMS_1003213,
84,acquisitionSoftware,The name of the acquisition software used,"Unknown,Not collected,Not applicable,Not Specified",,dataProperty,True,,,http://purl.obolibrary.org/obo/MS_1001455,
85,acquistionSoftwareVersion,The version number of software used,,,dataProperty,True,,,Sage Bionetworks,
86,samplePrepProtocol,An internet address that may provide more details of the protocol information (web link),,,dataProperty,False,,,Sage Bionetworks,
87,databaseName,"The name of the search database (nr, SwissProt or est_human, and/or mass spectral library).","MassBank of North America (MoNA),NIST17,Metlin,HMDB,OtherDatabaseName,Unknown,Not collected,Not applicable,Not Specified",,dataProperty,True,,,http://purl.obolibrary.org/obo/MS_1001013,
88,specifyDatabaseName,"If ""other"" list the name of the search database",,,dataProperty,False,,,Sage Bionetworks,
89,databaseSource,"The name of the organization, project, or laboratory from where the database is obtained (UniProt, NCBI, EBI, other).","OtherDatabaseSource,Unknown,Not collected,Not applicable,Not Specified",,dataProperty,False,,,http://purl.obolibrary.org/obo/MS_1001012,
90,specifyDatabaseSource,"If ""other"" list the name of the database source",,,dataProperty,False,,,Sage Bionetworks,
91,databaseWeblink,"An internet address that may provide details of a database or software search, as well as for labs who generate their own search method",,,dataProperty,False,,,"Sage Bionetworks,DSLWG",
92,spectrometerFrequency,The frequency at which a spectrometer causes hydrogen atoms to resonate (in MHz),,,dataProperty,True,,,Sage Bionetworks,
93,hasIonizationSource,Were the ionization conditions recorded to enable reproduction of the experiment,"YesHasIonizationSource,No",,dataProperty,True,,,"Sage Bionetworks,Proposed minimum metadata relative to mass spectrometry ",
94,ionProperty,Ion charge state (positive or negative-ion analysis),"Positive,Negative",,dataProperty,False,,,"Sage Bionetworks,Proposed minimum metadata relative to mass spectrometry ",
95,vacuumPressure,The recorded vacuum pressure value,,,dataProperty,False,,,"Sage Bionetworks,Proposed minimum metadata relative to mass spectrometry ",
96,vacuumPressureUnit,Unit of vacuum pressure value,"AFU,AI,AU/ml,DK units/ml,bpg/dl,g/l,gm,HAU,IU,iu/l,IU/ml,Kallikrein Inactivator Unit per Milliliter,kg,l,M,mg,mg/dl,mg/l,mg/ml,miu/ml,ml,mM,MOI,ng,ng/dl,ng/ml,ng/nl,ng/ul,nl,nM,Not Specified,NPX,optical density,PFU,PFUe,pg,pg/mg creatinine,pg/ml,pg/nl,pg/ul,pl,pM,Pound,TCID50,ug,ug/dl,ug/l,ug/ml,ug/ul,uiu/ml,ul,uM,umol/l,units/ml,OtherVacuumPressureUnit",,dataProperty,False,,,"Sage Bionetworks,Proposed minimum metadata relative to mass spectrometry ",
97,specifyVacuumPressueUnits,"If ""other"" provide the unit of measure",,,dataProperty,False,,,Sage Bionetworks,
98,lensVoltages,"The skimmer/focusing lens voltages e.g., capillary voltage, etc.",,,dataProperty,False,,,"Sage Bionetworks,Proposed minimum metadata relative to mass spectrometry ",
99,lensVoltagesUnit,Unit of lens voltages,"AFU,AI,AU/ml,DK units/ml,bpg/dl,g/l,gm,HAU,IU,iu/l,IU/ml,Kallikrein Inactivator Unit per Milliliter,kg,l,M,mg,mg/dl,mg/l,mg/ml,miu/ml,ml,mM,MOI,ng,ng/dl,ng/ml,ng/nl,ng/ul,nl,nM,Not Specified,NPX,optical density,PFU,PFUe,pg,pg/mg creatinine,pg/ml,pg/nl,pg/ul,pl,pM,Pound,TCID50,ug,ug/dl,ug/l,ug/ml,ug/ul,uiu/ml,ul,uM,umol/l,units/ml,OtherLensVoltagesUnit",,dataProperty,False,,,"Sage Bionetworks,Proposed minimum metadata relative to mass spectrometry ",
100,specifyLensVoltageUnits,"If ""other"" provide the unit of measure",,,dataProperty,False,,,Sage Bionetworks,
101,gasFlowTemperature,"e.g., nebulization gas, cone gas, etc.",,,dataProperty,False,,,"Sage Bionetworks,Proposed minimum metadata relative to mass spectrometry ",
102,gasFlowTemperatureUnit,Unit of gas flow temperature,"C,F,K,Not Specified",,dataProperty,False,,,"Sage Bionetworks,Proposed minimum metadata relative to mass spectrometry ",
103,hasAssayControl,"Boolean flag indicating whether or not a specimen is a technical or assay control. Examples include study pools or reference pools, blanks, or internal standards.","YesHasAssayControl,No",,dataProperty,True,,,Sage Bionetworks,
104,controlType,Control samples suitable for normalization and batch correction,"GIS,GoldenWest,NIST SRM 1950,AIBL pool,Baker pool,water plus Baker ISTD,study pool,internal standards,Other,Unknown,Not collected,Not applicable,Not Specified",,dataProperty,False,,,https://doi.org/10.1101/2020.05.19.105197https://doi.org/10.1038/sdata.2017.140https://www-s.nist.gov/srmors/view_detail.cfmsrm=1950Sage BionetworksDSLWG,
105,specifyControlType,"If ""other"" specify the control type",,,dataProperty,False,,,Sage Bionetworks,
106,experiementalBatchSize,The number of samples,,,dataProperty,False,,,Sage Bionetworks,
107,experiementalBatchSizeUnit,The unit of measurement for number of samples in a experimental batch,"AFU,AI,AU/ml,DK units/ml,bpg/dl,g/l,gm,HAU,IU,iu/l,IU/ml,Kallikrein Inactivator Unit per Milliliter,kg,l,M,mg,mg/dl,mg/l,mg/ml,miu/ml,ml,mM,MOI,ng,ng/dl,ng/ml,ng/nl,ng/ul,nl,nM,Not Specified,NPX,optical density,PFU,PFUe,pg,pg/mg creatinine,pg/ml,pg/nl,pg/ul,pl,pM,Pound,TCID50,ug,ug/dl,ug/l,ug/ml,ug/ul,uiu/ml,ul,uM,umol/l,units/ml,OtherExperiementalBatchSizeUnit",,dataProperty,False,,,Sage Bionetworks,
108,specifyExperimentalBatchSizeUnits,"If ""other"" list units of measure",,,dataProperty,False,,,,
109,batchSize,The number of samples,,,dataProperty,False,,,Sage Bionetworks,
