,Attribute,Description,Valid Values,DependsOn,Properties,Required,Parent,DependsOn Component,Source,Validation Rules
10,repositoryName,"The public repository name for the transcript (for example, Ensembl or NCBI Gene)","ArrayExpress,Broad Single Cell Portal,dbGAP,ENA,Ensembl,FlowRepository,GenBank,GEO,GISAID,IEDB,ImmPort,MassIVE,MetaboLights,Metabolomics Workbench,MGnify,NCBI Gene,PRIDE,SRA,UniProt,OtherRepositoryName,Unknown,Not collected,Not applicable,Not Specified",,dataProperty,,,,string,
11,specifyRepositoryName,"If ""other"" list the name of the repository",,,dataProperty,,,,string,
12,transcriptType,The type of transcript reported,"lincRNA,mRNA,snRNA,OtherTranscriptType,Unknown,Not collected,Not applicable,Not Specified",,dataProperty,,,,string,
13,specifyTranscriptType,"If ""other"" list the transcript type",,,dataProperty,,,,string,
14,resultUnit,The unit for the result value,"FPKM,RPKM,TPM,Not Specified",,dataProperty,,,,string,
15,valueReported,The count or gene count for the transcript,,,dataProperty,,,,number,
16,rnaBatchID,"Isolation batch identifier, provided by the data contributor to Sage Bionetworks. The batch identifier(s) must be stored in a data dictionary .csv file uploaded to Synapse","Unknown,Not collected,Not applicable,Not Specified",,dataProperty,,,,string,
17,libraryBatchID,"Library batch identifier, provided by the data contributor to Sage Bionetworks. The batch identifier(s) must be stored in a data dictionary .csv file uploaded to Synapse","Unknown,Not collected,Not applicable,Not Specified",,dataProperty,,,,string,
18,sequencingBatchID,"Sequencing batch identifier, provided by the data contributor to Sage Bionetworks. The batch identifier(s) must be stored in a data dictionary .csv file uploaded to Synapse","Unknown,Not collected,Not applicable,Not Specified",,dataProperty,,,,string,
19,libraryPrep,The general strategy by which the library was prepared,"amplicon,cellHashing,Chromium Single Cell 3',DNALibraryConstruction,EndItDNAEndRepairKit,KapaHyperPrep,lncRNAenrichment,methylSeq,miRNAenrichment,multiome,MULTIseq,PCRfree,polyAselection,proximity ligation,rRNAdepletion,SPLITseq,STARRSeq,SureCell,totalRNA,OtherLibraryPrep,Unknown,Not collected,Not applicable,Not Specified",,dataProperty,,,,string,
20,specifyLibraryPrep,"If ""other"" list the name of the general strategy used to prepare the library",,,dataProperty,,,,string,
21,libraryPreparationMethod,Method by which library was prepared,"10x,Accel-NGS 2S Plus,Accel-NGS Methyl-Seq,CEL-seq,Drop-Seq,NEBNext,NexteraXT,Omni-ATAC,sac-seq,Smart-seq1,Smart-seq2,Smart-seq4,SMRTbell,TruSeq,Ultralow Methyl-Seq,OtherLibraryPreparationMethod,Unknown,Not collected,Not applicable,Not Specified",,dataProperty,,,,string,
22,specifyLibraryPreparationMethod,"If ""other"" list the name of the library preparation methods",,,dataProperty,,,,string,
23,libraryVersion,"Library Version: for example, rnaSeq 10x library version","OtherLibraryVersion,Unknown,Not collected,Not applicable,Not Specified",,dataProperty,,,,string,
24,specifyLibraryVersion,"If ""other"" list the name of the library version",,,dataProperty,,,,string,
25,isStranded,Whether or not the library is stranded.,falseFalseFALSEtrueTrueTRUE,,dataProperty,,,,boolean,
26,readStrandOrigin,The strand from which the read originates in a strand-specific protocol,forwardreverse,,dataProperty,,,,string,
27,readLength,The length of the read,,,dataProperty,,,,number,
28,readLengthUnits,The units of measurement.,"AFU,AI,AU/ml,DK units/ml,bpg/dl,g/l,gm,HAU,IU,iu/l,IU/ml,Kallikrein Inactivator Unit per Milliliter,kg,l,M,mg,mg/dl,mg/l,mg/ml,miu/ml,ml,mM,MOI,ng,ng/dl,ng/ml,ng/nl,ng/ul,nl,nM,Not Specified,NPX,optical density,PFU,PFUe,pg,pg/mg creatinine,pg/ml,pg/nl,pg/ul,pl,pM,Pound,TCID50,ug,ug/dl,ug/l,ug/ml,ug/ul,uiu/ml,ul,uM,umol/l,units/ml,OtherReadLengthUnits",,dataProperty,,,,string,
29,specifyReadLengthUnits,"If ""other"" provide the unit of measure",,,dataProperty,,,,string,
30,runType,The type of run,singleEndpairedEnd,,dataProperty,,,,string,
31,totalReads,Total number of sequencing reads from a library.,,,dataProperty,,,,number,
32,OtherSampleType,"If ""other"" is selected list the type of sample",,specifySampleType,validValue,,,,string,
33,OtherMeasurementTechnique,"If ""other"" is selected list the name of the measurement technique used",,specifyMeasurementTechnique,validValue,,,,string,
34,OtherTechnologyPlatformVersion,"If ""other"" list the name of the platform version",,specifyPlatformVersion,validValue,,,,string,
35,OtherPlatformLocation,"If ""other"" list the name of the platform location",,specifyPlatformLocation,validValue,,,,string,
36,OtherRepositoryName,"If ""other"" list the name of the repository",,specifyRepositoryName,validValue,,,,string,
37,OtherTranscriptType,"If ""other"" list the transcript type",,specifyTranscriptType,validValue,,,,string,
38,OtherLibraryPrep,"If ""other"" list the name of the general strategy used to prepare the library",,specifyLibraryPrep,validValue,,,,string,
39,OtherLibraryPreparationMethod,"If ""other"" list the name of the library preparation methods",,specifyLibraryPreparationMethod,validValue,,,,string,
40,OtherLibraryVersion,"If ""other"" list the name of the library version",,specifyLibraryVersion,validValue,,,,string,
41,OtherReadLengthUnits,"If ""other"" provide the unit of measure",,specifyReadLengthUnits,validValue,,,,string,
42,10x,,,,validValue,FALSE,,,,
43,10x Visium Spatial Gene Expression,,,,validValue,FALSE,,,,
44,16S rRNA gene sequencing,,,,validValue,FALSE,,,,
45,1D Gel,,,,validValue,FALSE,,,,
46,2D Gel,,,,validValue,FALSE,,,,
47,AFU,,,,validValue,FALSE,,,,
48,AI,,,,validValue,FALSE,,,,
49,AU/ml,,,,validValue,FALSE,,,,
50,Accel-NGS 2S Plus,,,,validValue,FALSE,,,,
51,Accel-NGS Methyl-Seq,,,,validValue,FALSE,,,,
52,Affymetrix Genome-Wide Human SNP 5.0 Array,,,,validValue,FALSE,,,,
53,Affymetrix Genome-Wide Human SNP 6.0 Array,,,,validValue,FALSE,,,,
54,Affymetrix Human Gene 1.0 ST Array,,,,validValue,FALSE,,,,
55,Affymetrix Human Genome U133 Plus 2.0 Array,,,,validValue,FALSE,,,,
56,Affymetrix U133AB,,,,validValue,FALSE,,,,
57,Agilent 44Karray,,,,validValue,FALSE,,,,
58,Amniotic Fluid,,,,validValue,FALSE,,,,
59,Appendix,,,,validValue,FALSE,,,,
60,Array,,,,validValue,FALSE,,,,
61,ArrayExpress,,,,validValue,FALSE,,,,
62,B cell,,,,validValue,FALSE,,,,
63,B cell receptor repertoire sequencing assay,,,,validValue,FALSE,,,,
64,BGISEQ-500,,,,validValue,FALSE,,,,
65,Basophils,,,,validValue,FALSE,,,,
66,Bionano Irys,,,,validValue,FALSE,,,,
67,Bone,,,,validValue,FALSE,,,,
68,Bone Marrow,,,,validValue,FALSE,,,,
69,Brachial lymph node,,,,validValue,FALSE,,,,
70,Breast Milk,,,,validValue,FALSE,,,,
71,Broad Single Cell Portal,,,,validValue,FALSE,,,,
72,Bronchoalveolar Lavage Fluid,,,,validValue,FALSE,,,,
73,CEL-seq,,,,validValue,FALSE,,,,
74,Carbohydrate,,,,validValue,FALSE,,,,
75,Cell Culture,,,,validValue,FALSE,,,,
76,Cell culture supernatant,,,,validValue,FALSE,,,,
77,Cerebrospinal Fluid,,,,validValue,FALSE,,,,
78,Cervical lymph nodes,,,,validValue,FALSE,,,,
79,Cherry Imaging FACE Platform,,,,validValue,FALSE,,,,
80,Cherry Imaging TRACE Platform,,,,validValue,FALSE,,,,
81,Chromium Single Cell 3',,,,validValue,FALSE,,,,
82,Chromium X,,,,validValue,FALSE,,,,
83,Circular Dichroism,,,,validValue,FALSE,,,,
84,Colon,,,,validValue,FALSE,,,,
85,Colonic Lamina Propria,,,,validValue,FALSE,,,,
86,Convalescent Plasma,,,,validValue,FALSE,,,,
87,Cord blood,,,,validValue,FALSE,,,,
88,CyTOF,,,,validValue,FALSE,,,,
89,Cytometric Bead Array Assay,,,,validValue,FALSE,,,,
90,DK units/ml,,,,validValue,FALSE,,,,
91,DNA,,,,validValue,FALSE,,,,
92,DNA methylation profiling assay,,,,validValue,FALSE,,,,
93,DNA microarray,,,,validValue,FALSE,,,,
94,DNALibraryConstruction,,,,validValue,FALSE,,,,
95,Dendritic cell,,,,validValue,FALSE,,,,
96,Dermis,,,,validValue,FALSE,,,,
97,Dried Blood Spot,,,,validValue,FALSE,,,,
98,Drop-Seq,,,,validValue,FALSE,,,,
99,ELISA,,,,validValue,FALSE,,,,
100,ELISPOT,,,,validValue,FALSE,,,,
101,EMSA,,,,validValue,FALSE,,,,
102,ENA,,,,validValue,FALSE,,,,
103,EnVision 2103 Multiplate Reader,,,,validValue,FALSE,,,,
104,EndItDNAEndRepairKit,,,,validValue,FALSE,,,,
105,Endotracheal aspirate,,,,validValue,FALSE,,,,
106,Ensembl,,,,validValue,FALSE,,,,
107,Epithelium,,,,validValue,FALSE,,,,
108,Exome Sequencing,,,,validValue,FALSE,,,,
109,FPKM,,,,validValue,FALSE,,,,
110,Feces,,,,validValue,FALSE,,,,
111,Fibroblast,,,,validValue,FALSE,,,,
112,Flow Cytometry,,,,validValue,FALSE,,,,
113,FlowRepository,,,,validValue,FALSE,,,,
114,Fluorescent Antibody Procedure,,,,validValue,FALSE,,,,
115,GEO,,,,validValue,FALSE,,,,
116,GISAID,,,,validValue,FALSE,,,,
117,Gastric lamina propria,,,,validValue,FALSE,,,,
118,GenBank,,,,validValue,FALSE,,,,
119,HAU,,,,validValue,FALSE,,,,
120,HLA Typing,,,,validValue,FALSE,,,,
121,HPLC,,,,validValue,FALSE,,,,
122,Hemagglutination Inhibition,,,,validValue,FALSE,,,,
123,IEDB,,,,validValue,FALSE,,,,
124,IU,,,,validValue,FALSE,,,,
125,IU/ml,,,,validValue,FALSE,,,,
126,Ileum,,,,validValue,FALSE,,,,
127,Illumina 1M,,,,validValue,FALSE,,,,
128,Illumina Genome Analyzer IIx,,,,validValue,FALSE,,,,
129,Illumina HiSeq 2000,,,,validValue,FALSE,,,,
130,Illumina HiSeq 2500,,,,validValue,FALSE,,,,
131,Illumina HiSeq 3000,,,,validValue,FALSE,,,,
132,Illumina HiSeq 4000,,,,validValue,FALSE,,,,
133,Illumina HiSeq X,,,,validValue,FALSE,,,,
134,Illumina Human660W-Quad v1.0 BeadChip,,,,validValue,FALSE,,,,
135,Illumina HumanHap300,,,,validValue,FALSE,,,,
136,Illumina HumanMethylation450,,,,validValue,FALSE,,,,
137,Illumina HumanOmni1-Quadv1.0,,,,validValue,FALSE,,,,
138,Illumina HumanOmniExpress-24 v1.0 BeadChip,,,,validValue,FALSE,,,,
139,Illumina HumanOmniExpress-24 v1.2 BeadChip,,,,validValue,FALSE,,,,
140,Illumina Infinium MethylationEPIC BeadChip v1.0 (850k),,,,validValue,FALSE,,,,
141,Illumina Infinium MethylationEPIC BeadChip v2.0 (935k)Illumina MiSeq,,,,validValue,FALSE,,,,
142,Illumina MouseWG-6 v2.0 expression BeadChip,,,,validValue,FALSE,,,,
143,Illumina NextSeq 1000,,,,validValue,FALSE,,,,
144,Illumina NextSeq 2000,,,,validValue,FALSE,,,,
145,Illumina NextSeq 500,,,,validValue,FALSE,,,,
146,Illumina NextSeq 550,,,,validValue,FALSE,,,,
147,Illumina NovaSeq 6000,,,,validValue,FALSE,,,,
148,Illumina Omni2pt5M,,,,validValue,FALSE,,,,
149,Illumina Omni5M,,,,validValue,FALSE,,,,
150,Illumina WholeGenome DASL,,,,validValue,FALSE,,,,
151,Illumina h650,,,,validValue,FALSE,,,,
152,ImmPort,,,,validValue,FALSE,,,,
153,Immunoblot,,,,validValue,FALSE,,,,
154,Immunoprecipitation,,,,validValue,FALSE,,,,
155,Infinium HumanOmniExpressExome,,,,validValue,FALSE,,,,
156,Inguinal lymph node,,,,validValue,FALSE,,,,
157,Jejunum,,,,validValue,FALSE,,,,
158,KIR Typing,,,,validValue,FALSE,,,,
159,Kallikrein Inactivator Unit per Milliliter,,,,validValue,FALSE,,,,
160,KapaHyperPrep,,,,validValue,FALSE,,,,
161,Kidney,,,,validValue,FALSE,,,,
162,LI-COR Odyssey CLx,,,,validValue,FALSE,,,,
163,LTQ Orbitrap XL,,,,validValue,FALSE,,,,
164,Leukocytes,,,,validValue,FALSE,,,,
165,LifeViz Infinity System,,,,validValue,FALSE,,,,
166,LifeViz Micro System,,,,validValue,FALSE,,,,
167,Line Probe Assay,,,,validValue,FALSE,,,,
168,Lipid,,,,validValue,FALSE,,,,
169,Liquid Chromatography,,,,validValue,FALSE,,,,
170,Liver,,,,validValue,FALSE,,,,
171,Luminex xMAP,,,,validValue,FALSE,,,,
172,Lung,,,,validValue,FALSE,,,,
173,Lung lymph node,,,,validValue,FALSE,,,,
174,Lymph node,,,,validValue,FALSE,,,,
175,Lymphocyte,,,,validValue,FALSE,,,,
176,M,,,,validValue,FALSE,,,,
177,MGnify,,,,validValue,FALSE,,,,
178,MOI,,,,validValue,FALSE,,,,
179,MULTIseq,,,,validValue,FALSE,,,,
180,Macrophage,,,,validValue,FALSE,,,,
181,Mass Spectrometry,,,,validValue,FALSE,,,,
182,MassIVE,,,,validValue,FALSE,,,,
183,Mesenteric lymph node,,,,validValue,FALSE,,,,
184,Meso Scale Discovery ECL,,,,validValue,FALSE,,,,
185,MetaboLights,,,,validValue,FALSE,,,,
186,Metabolomics Workbench,,,,validValue,FALSE,,,,
187,Microscopy,,,,validValue,FALSE,,,,
188,Mixed Lymphocyte Reaction,,,,validValue,FALSE,,,,
189,Molecular Cloning,,,,validValue,FALSE,,,,
190,Monocyte,,,,validValue,FALSE,,,,
191,Mouse Ear,,,,validValue,FALSE,,,,
192,NCBI Gene,,,,validValue,FALSE,,,,
193,NEBNext,,,,validValue,FALSE,,,,
194,NK cell,,,,validValue,FALSE,,,,
195,NMR,,,,validValue,FALSE,,,,
196,NPX,,,,validValue,FALSE,,,,
197,Nanostring,,,,validValue,FALSE,,,,
198,Nanostring Counter,,,,validValue,FALSE,,,,
199,Nanostring GeoMx,,,,validValue,FALSE,,,,
200,Nasal Swab,,,,validValue,FALSE,,,,
201,Nasal Swab or Nose Specimen,,,,validValue,FALSE,,,,
202,Nasal lavage fluid,,,,validValue,FALSE,,,,
203,Nasopharyngeal Swab Specimen,,,,validValue,FALSE,,,,
204,Negative Control,,,,validValue,FALSE,,,,
205,Neutralizing Antibody Titer Assay,,,,validValue,FALSE,,,,
206,Neutrophil,,,,validValue,FALSE,,,,
207,NexteraXT,,,,validValue,FALSE,,,,
208,Northern Blot,,,,validValue,FALSE,,,,
209,Not Specified,,,,validValue,FALSE,,,,
210,Not applicable,,,,validValue,FALSE,,,,
211,Not collected,,,,validValue,FALSE,,,,
212,O link,,,,validValue,FALSE,,,,
213,Olympus DP80,,,,validValue,FALSE,,,,
214,Omni-ATAC,,,,validValue,FALSE,,,,
215,Optic Nerve,,,,validValue,FALSE,,,,
216,Orbitrap Fusion Lumos Tribrid,,,,validValue,FALSE,,,,
217,Organoids,,,,validValue,FALSE,,,,
218,Oropharyngeal Swab Specimen,,,,validValue,FALSE,,,,
219,Osteoblasts,,,,validValue,FALSE,,,,
220,PBL,,,,validValue,FALSE,,,,
221,PBMC,,,,validValue,FALSE,,,,
222,PCR,,,,validValue,FALSE,,,,
223,PCRfree,,,,validValue,FALSE,,,,
224,PFU,,,,validValue,FALSE,,,,
225,PFUe,,,,validValue,FALSE,,,,
226,PRIDE,,,,validValue,FALSE,,,,
227,PacBio RS II,,,,validValue,FALSE,,,,
228,PacBio Sequel II System,,,,validValue,FALSE,,,,
229,PacBio Sequel IIe System,,,,validValue,FALSE,,,,
230,Pancreas,,,,validValue,FALSE,,,,
231,Pancreatic Stellate Cells,,,,validValue,FALSE,,,,
232,Perlegen 300Karray,,,,validValue,FALSE,,,,
233,Placenta,,,,validValue,FALSE,,,,
234,Plasma,,,,validValue,FALSE,,,,
235,Pooled Sample,,,,validValue,FALSE,,,,
236,Popliteal lymph node,,,,validValue,FALSE,,,,
237,Positive Control,,,,validValue,FALSE,,,,
238,Pound,,,,validValue,FALSE,,,,
239,Promega GloMax Discover,,,,validValue,FALSE,,,,
240,Protein,,,,validValue,FALSE,,,,
241,Protein microarray,,,,validValue,FALSE,,,,
242,Q Exative HF,,,,validValue,FALSE,,,,
243,Q-PCR,,,,validValue,FALSE,,,,
244,RNA sequencing,,,,validValue,FALSE,,,,
245,RPKM,,,,validValue,FALSE,,,,
246,Real time polymerase chain reaction assay,,,,validValue,FALSE,,,,
247,Rectal Swab Specimen,,,,validValue,FALSE,,,,
248,Red Blood Cell,,,,validValue,FALSE,,,,
249,Rnase Protection Assay,,,,validValue,FALSE,,,,
250,SMRTbell,,,,validValue,FALSE,,,,
251,SNP microarray,,,,validValue,FALSE,,,,
252,SOMAscan,,,,validValue,FALSE,,,,
253,SPLITseq,,,,validValue,FALSE,,,,
254,SRA,,,,validValue,FALSE,,,,
255,STARRSeq,,,,validValue,FALSE,,,,
256,Saliva,,,,validValue,FALSE,,,,
257,Salivary Glands,,,,validValue,FALSE,,,,
258,Sequencing,,,,validValue,FALSE,,,,
259,Serum,,,,validValue,FALSE,,,,
260,Skin of body,,,,validValue,FALSE,,,,
261,Small intestine,,,,validValue,FALSE,,,,
262,Smart-seq1,,,,validValue,FALSE,,,,
263,Smart-seq2,,,,validValue,FALSE,,,,
264,Smart-seq4,,,,validValue,FALSE,,,,
265,Southern Blot,,,,validValue,FALSE,,,,
266,Spectramax M Series,,,,validValue,FALSE,,,,
267,Spleen,,,,validValue,FALSE,,,,
268,Sputum,,,,validValue,FALSE,,,,
269,Stomach,,,,validValue,FALSE,,,,
270,SureCell,,,,validValue,FALSE,,,,
271,Surface Plasmon Resonance,,,,validValue,FALSE,,,,
272,Synovial fluid,,,,validValue,FALSE,,,,
273,Synovial tissue,,,,validValue,FALSE,,,,
274,T cell,,,,validValue,FALSE,,,,
275,T cell receptor repertoire sequencing assay,,,,validValue,FALSE,,,,
276,TCID50,,,,validValue,FALSE,,,,
277,TPM,,,,validValue,FALSE,,,,
278,Thymus,,,,validValue,FALSE,,,,
279,Tonsil,,,,validValue,FALSE,,,,
280,Trachea,,,,validValue,FALSE,,,,
281,Transcription profiling assay,,,,validValue,FALSE,,,,
282,Transcription profiling by array,,,,validValue,FALSE,,,,
283,TruSeq,,,,validValue,FALSE,,,,
284,Tumor Tissue,,,,validValue,FALSE,,,,
285,Ultralow Methyl-Seq,,,,validValue,FALSE,,,,
286,Umbilical cord blood,,,,validValue,FALSE,,,,
287,UniProt,,,,validValue,FALSE,,,,
288,Unknown,,,,validValue,FALSE,,,,
289,Urinary bladder,,,,validValue,FALSE,,,,
290,Urine,,,,validValue,FALSE,,,,
291,Vagina,,,,validValue,FALSE,,,,
292,Vectra H1 3D Imaging System,,,,validValue,FALSE,,,,
293,Vevo 3100 Imaging System,,,,validValue,FALSE,,,,
294,Virus Neutralization,,,,validValue,FALSE,,,,
295,Western Blot,,,,validValue,FALSE,,,,
296,Whole blood,,,,validValue,FALSE,,,,
297,Yeast Two Hybrid,,,,validValue,FALSE,,,,
298,Zeiss LSM 980,,,,validValue,FALSE,,,,
299,amplicon,,,,validValue,FALSE,,,,
300,bpg/dl,,,,validValue,FALSE,,,,
301,brain,,,,validValue,FALSE,,,,
302,cell line,,,,validValue,FALSE,,,,
303,cellHashing,,,,validValue,FALSE,,,,
304,dbGAP,,,,validValue,FALSE,,,,
305,falseFalseFALSEtrueTrueTRUE,,,,validValue,FALSE,,,,
306,forwardreverse,,,,validValue,FALSE,,,,
307,g/l,,,,validValue,FALSE,,,,
308,gm,,,,validValue,FALSE,,,,
309,in situ Hybridization,,,,validValue,FALSE,,,,
310,iu/l,,,,validValue,FALSE,,,,
311,kg,,,,validValue,FALSE,,,,
312,l,,,,validValue,FALSE,,,,
313,lincRNA,,,,validValue,FALSE,,,,
314,lncRNAenrichment,,,,validValue,FALSE,,,,
315,mM,,,,validValue,FALSE,,,,
316,mRNA,,,,validValue,FALSE,,,,
317,methylSeq,,,,validValue,FALSE,,,,
318,mg,,,,validValue,FALSE,,,,
319,mg/dl,,,,validValue,FALSE,,,,
320,mg/l,,,,validValue,FALSE,,,,
321,mg/ml,,,,validValue,FALSE,,,,
322,miRNAenrichment,,,,validValue,FALSE,,,,
323,microRNA profiling assay,,,,validValue,FALSE,,,,
324,miu/ml,,,,validValue,FALSE,,,,
325,ml,,,,validValue,FALSE,,,,
326,multiome,,,,validValue,FALSE,,,,
327,nM,,,,validValue,FALSE,,,,
328,ng,,,,validValue,FALSE,,,,
329,ng/dl,,,,validValue,FALSE,,,,
330,ng/ml,,,,validValue,FALSE,,,,
331,ng/nl,,,,validValue,FALSE,,,,
332,ng/ul,,,,validValue,FALSE,,,,
333,nl,,,,validValue,FALSE,,,,
334,optical density,,,,validValue,FALSE,,,,
335,pM,,,,validValue,FALSE,,,,
336,pg,,,,validValue,FALSE,,,,
337,pg/mg creatinine,,,,validValue,FALSE,,,,
338,pg/ml,,,,validValue,FALSE,,,,
339,pg/nl,,,,validValue,FALSE,,,,
340,pg/ul,,,,validValue,FALSE,,,,
341,phage display binding assay,,,,validValue,FALSE,,,,
342,pl,,,,validValue,FALSE,,,,
343,polyAselection,,,,validValue,FALSE,,,,
344,proximity ligation,,,,validValue,FALSE,,,,
345,rRNAdepletion,,,,validValue,FALSE,,,,
346,sac-seq,,,,validValue,FALSE,,,,
347,scale,,,,validValue,FALSE,,,,
348,singleEndpairedEnd,,,,validValue,FALSE,,,,
349,snRNA,,,,validValue,FALSE,,,,
350,totalRNA,,,,validValue,FALSE,,,,
351,uM,,,,validValue,FALSE,,,,
352,ug,,,,validValue,FALSE,,,,
353,ug/dl,,,,validValue,FALSE,,,,
354,ug/l,,,,validValue,FALSE,,,,
355,ug/ml,,,,validValue,FALSE,,,,
356,ug/ul,,,,validValue,FALSE,,,,
357,uiu/ml,,,,validValue,FALSE,,,,
358,ul,,,,validValue,FALSE,,,,
359,umol/l,,,,validValue,FALSE,,,,
360,units/ml,,,,validValue,FALSE,,,,
361,Whole Genome Sequencing,,,"specimenID,sampleType,specifySampleType,measurementTechnique,specifyMeasurementTechnique,technologyPlatformVersion,specifyPlatformVersion,platformLocation,specifyPlatformLocation,referenceTranscriptID,repositoryName,specifyRepositoryName,transcriptType,specifyTranscriptType,resultUnit,valueReported,rnaBatchID,libraryBatchID,sequencingBatchID,libraryPrep,specifyLibraryPrep,libraryPreparationMethod,specifyLibraryPreparationMethod,libraryVersion,specifyLibraryVersion,isStranded,readStrandOrigin,readLength,readLengthUnits,specifyReadLengthUnits,runType,totalReads",dataType,TRUE,,,,
