Attribute,Description,Valid Values,Required,Module,multivalue,columnType,Ontology,Notes,Unnamed: 9,Properties,UsedIn,DependsOn,Parent
referenceTranscriptID,"The ID for the transcript/gene. Either the NCBI ID or the Ensembl ID must be providedProvide a value OR provide one of these values: Unknown Not collected, Not applicable, Not specified",,True,WGS,False,STRING,Sage Bionetworks,,,ManifestColumn,Whole_Genome_Sequencing,,
repositoryName,"The public repository name for the transcript (for example, Ensembl or NCBI Gene)","ArrayExpress,Broad Single Cell Portal,dbGAP,ENA,Ensembl,FlowRepository,GenBank,GEO,GISAID,IEDB,ImmPort,MassIVE,MetaboLights,Metabolomics Workbench,MGnify,NCBI Gene,PRIDE,SRA,UniProt",True,WGS,False,STRING,Sage Bionetworks,,,ManifestColumn,Whole_Genome_Sequencing,,
resultUnit,The unit for the result value,"FPKM,RPKM,TPM,Not Specified",True,WGS,False,STRING,Sage Bionetworks,,,ManifestColumn,Whole_Genome_Sequencing,,
rnaBatchID,"Isolation batch identifier, provided by the data contributor to Sage Bionetworks. The batch identifier(s) must be stored in a data dictionary .csv file uploaded to Synapse.Provide a value OR provide one of these values: Unknown Not collected, Not applicable, Not specified",,True,WGS,False,STRING,Sage Bionetworks,,,ManifestColumn,Whole_Genome_Sequencing,,
runType,The type of run,singleEnd pairedEnd,True,WGS,False,STRING,Sage Bionetworks,,,ManifestColumn,Whole_Genome_Sequencing,,
sampleType,"The type of sample collected or the term used to describe the source of a biospecimen used for a laboratory test.Provide a value OR provide one of these values: Unknown Not collected, Not applicable, Not specified",,True,WGS,False,STRING,Sage Bionetworks,"A data contributor should be able to write in a name OR provide one of these values: Unknown Not collected, Not applicable, Not specifiedThe sample types are adopted from Uberon, Cell and ChEBI ontologies.",,ManifestColumn,Whole_Genome_Sequencing,,
sequencingBatchID,"Sequencing batch identifier, provided by the data contributor to Sage Bionetworks. The batch identifier(s) must be stored in a data dictionary .csv file uploaded to Synapse.Provide a value OR provide one of these values: Unknown Not collected, Not applicable, Not specified",,True,WGS,False,STRING,Sage Bionetworks,,,ManifestColumn,Whole_Genome_Sequencing,,
specimenID,"Identifying string linked to a particular sample or specimen, provided by the data contributor",,True,"WGS, Biospecimen",False,STRING,Sage Bionetworks,,,ManifestColumn,Whole_Genome_Sequencing,,
technologyPlatformVersion,"The specific version (application, manufacturer, model, lab, etc.) of a technology that is used to carry out a laboratory or computational experiment.Provide a value OR provide one of these values: Unknown Not collected, Not applicable, Not specified",,True,WGS,True,STRING,http://purl.obolibrary.org/obo/NCIT_C45378,"A data contributor should be able to write in a name OR provide one of these values: Unknown Not collected, Not applicable, Not specified",,ManifestColumn,Whole_Genome_Sequencing,,
totalReads,Total number of sequencing reads from a library.,,True,WGS,False,NUMBER,Sage Bionetworks,,,ManifestColumn,Whole_Genome_Sequencing,,
transcriptType,The type of transcript reported,"lincRNA,mRNA,snRNA",True,WGS,False,STRING,ImmPort,,,ManifestColumn,Whole_Genome_Sequencing,,
valueReported,The count or gene count for the transcript,,True,WGS,False,NUMBER,Sage Bionetworks,,,ManifestColumn,Whole_Genome_Sequencing,,
Whole_Genome_Sequencing,Template for Whole_Genome_Sequencing,,False,Template,,,Sage Bionetworks,,,,,"Filename,specimenID,sampleType,measurementTechnique,technologyPlatformVersion,platformLocation,referenceTranscriptID,repositoryName,transcriptType,resultUnit,valueReported,rnaBatchID,libraryBatchID,sequencingBatchID,libraryPrep,libraryPreparationMethod,libraryVersion,isStranded,readStrandOrigin,readLength,readLengthUnits,runType,totalReads,Component",Component
