Attribute,Description,Valid Values,DependsOn,Properties,Required,Parent,DependsOn Component,Source,Validation Rules,Module,Ontology,UsedIn,columnType,Notes,multivalue
countryCode,"Indicate the geographic region for the individual (shown as ex. ""840"")","004, 008, 010, 012, 016, 020, 024, 028, 031, 032, 036, 040, 044, 048, 050, 051, 052, 056, 058, 060, 064, 068, 070, 072, 074, 076, 080, 084, 086, 090, 092, 096, 100, 104, 108, 112, 116, 120, 124, 132, 136, 140, 144, 148, 152, 156, 162, 166, 170, 174, 175, 178, 180, 184, 188, 191, 192, 196, 200, 203, 204, 208, 212, 214, 218, 222, 226, 230, 231, 232, 233, 234, 238, 239, 242, 246, 250, 254, 258, 260, 262, 266, 268, 270, 275, 276, 278, 288, 292, 296, 300, 304, 308, 312, 316, 320, 324, 328, 332, 334, 336, 340, 344, 348, 352, 356, 360, 364, 368, 372, 376, 380, 384, 388, 392, 398, 400, 404, 408, 410, 414, 417, 418, 422, 426, 428, 430, 434, 440, 442, 446, 450, 454, 458, 462, 466, 470, 474, 478, 480, 484, 490, 492, 496, 498, 499, 500, 504, 508, 512, 516, 520, 524, 528, 530, 531, 533, 534, 535, 536, 540, 548, 554, 558, 562, 566, 570, 574, 578, 580, 581, 582, 583, 584, 585, 586, 591, 598, 600, 604, 608, 612, 616, 620, 624, 626, 634, 638, 642, 643, 646, 654, 659, 660, 662, 666, 670, 674, 678, 682, 686, 690, 694, 702, 703, 704, 705, 706, 710, 716, 720, 724, 728, 729, 732, 736, 740, 748, 752, 756, 760, 762, 764, 768, 772, 776, 780, 784, 788, 792, 795, 796, 798, 800, 804, 807, 810, 818, 826, 834, 837, 838, 839, 840, 849, 854, 858, 860, 862, 876, 882, 887, 890, 891, 894, 898, EAS, ECS, LCN, MEA, NAC, Not applicable, Not collected, Other, SAS, SSF, Unknown,000",,,True,ManifestColumn,,https://wits.worldbank.org/countryprofile/metadata/en/country/all,,Metadata,,Individual Human,,,
dataFile,"Name of additional file(s) accompanying the data. The file(s) provide, for example, the name of any raw files generated by the instrument, generated reports from a vendor, an Rscript, or an instructions document. The files can be instrument raw files, converted peak lists such as mzML, MGF, or result files like mzIdentML. The files can be additional documentation submitted alongside the data needed for reuse and sharing purposes.,Provide the file names of any additional files submitted alongside the data (ex., an ADAT file). Multiple file names can be separated by (;),Provide a value OR provide one of these values:,Unknown,Not collected,Not applicable,Not specified,Name of additional file(s) accompanying the data. The file(s) provide, for example, the name of any raw files generated by the instrument, generated reports from a vendor, an Rscript, or an instructions document. The files can be instrument raw files, converted peak lists such as mzML, MGF, or result files like mzIdentML. The files can be additional documentation submitted alongside the data needed for reuse and sharing purposes.,,Provide the file names of any additional files submitted alongside the data.",,,ManifestColumn,True,ManifestColumn,,Proteomics Sample Metadata,,Metadata,"Proteomics Sample Metadata,Sage Bionetworks","Metabolomics,proteomics",STRING,"A data contributor should be able to write in a name OR provide one of these values:,Not applicable,Not collected,Not specified,Unknown",
databaseName,"The name of the search database (nr, SwissProt or est_human, and/or mass spectral library).,Provide a value OR provide one of these values:,Unknown,Not collected,Not applicable,Not specified","HMDB, Metlin, NIST17, Not Specified, Not applicable, Not collected, OtherDatabaseName, Unknown,MassBank of North America (MoNA)",,ManifestColumn,True,ManifestColumn,,http://purl.obolibrary.org/obo/MS_1001013,,Metadata,http://purl.obolibrary.org/obo/MS_1001013,"Metabolomics,proteomics",STRING,"A data contributor should be able to write in a name OR provide one of these values:,Not applicable,Not collected,Not specified,Unknown",
databaseSource,"The name of the organization, project, or laboratory from where the database is obtained (UniProt, NCBI, EBI, other).",,,ManifestColumn,False,ManifestColumn,,http://purl.obolibrary.org/obo/MS_1001012,,Metadata,http://purl.obolibrary.org/obo/MS_1001012,"Metabolomics,proteomics",STRING,"A data contributor should be able to write in a name OR provide one of these values:,Not applicable,Not collected,Not specified,Unknown",
databaseWeblink,"An internet address that may provide details of a database or software search, as well as for labs that generate their own search method (web link).,Provide a value OR provide one of these values:,Unknown,Not collected,Not applicable,Not specified",,,ManifestColumn,False,ManifestColumn,,"DSLWG,Sage Bionetworks",,Metadata,"DSLWG,Sage Bionetworks","Metabolomics,proteomics",STRING,"A data contributor should be able to write in a name OR provide one of these values:,Not applicable,Not collected,Not specified,Unknown",
diagnosis,Indicate the disease or condition.,,,,False,ManifestColumn,,LLFS data dictionary,,Metadata,,Individual Human,,,
diagnosisStatus,"Whether the individual has been diagnosed with a condition or disease (physical and/or cognitive), ""True"" indicates the individual has been diagnosed","FALSE, Not applicable, Not collected, Unknown,TRUE",,,True,ManifestColumn,,Sage Bionetworks,,Metadata,,Individual Human,,,
digestionReagent,"Enzymes or reagents used for digestion. ,",,,ManifestColumn,True,,,,,Metadata,Proteomics Data Commons,proteomics,STRING,,
enrichment,"Protocol or reagent used for enrichment (ex. Fe3+NTA-Agarose (Qiagen),Provide a value OR provide one of these values:,Unknown,Not collected,Not applicable,Not specified",,,ManifestColumn,True,,,,,Metadata,Proteomic Data Commons,proteomics,STRING,"A data contributor should be able to write in a name OR provide one of these values:,Not applicable,Not collected,Not specified,Unknown",
enrichmentStrategy,"Type of peptide or protein enrichment,",,,ManifestColumn,True,,,,,Metadata,Proteomic Data Commons,proteomics,STRING,"A data contributor should be able to write in a name OR provide one of these values:,Not applicable,Not collected,Not specified,Unknown",
ethnicGroupCode,"A coded value specifying the self-declared ethnic origination independent of racial origination, provided by the data contributor's data dictionary",,,,False,ManifestColumn,,https://ncithesaurus.nci.nih.gov/ncitbrowser/pages/concept_details.jsfdictionary=NCI_Thesaurus&version=23.04d&code=C93563&ns=ncit&type=properties&key=1040179992&b=1&n=0&vse=null,,Metadata,,Individual Human,,,
ethnicity,Ethnicity of individual,"Hispanic or latino, Not applicable, Not collected, Other, Prefer not to answer, Unknown,Not Hispanic or latino",,,True,ManifestColumn,,"Sage Bionetworks,https://www.synapse.org/#!Synapse:syn25878249",,Metadata,,Individual Human,,,
experiementalBatchSize,The number of samples ,,,ManifestColumn,False,ManifestColumn,,Sage Bionetworks,,Metadata,Sage Bionetworks,Metabolomics,NUMBER,,
experiementalBatchSizeUnit,The unit of measurement for number of samples in a experimental batch,"AI, AU/ml, DK units/ml, HAU, IU, IU/ml, Kallikrein Inactivator Unit per Milliliter, M, MOI, NPX, Not Specified, OtherExperiementalBatchSizeUnit, PFU, PFUe, Pound, TCID50, bpg/dl, g/l, gm, iu/l, kg, l, mM, mg, mg/dl, mg/l, mg/ml, miu/ml, ml, nM, ng, ng/dl, ng/ml, ng/nl, ng/ul, nl, optical density, pM, pg, pg/mg creatinine, pg/ml, pg/nl, pg/ul, pl, uM, ug, ug/dl, ug/l, ug/ml, ug/ul, uiu/ml, ul, umol/l, units/ml,AFU",,ManifestColumn,False,ManifestColumn,,Sage Bionetworks,,Metadata,Sage Bionetworks,Metabolomics,STRING,,
experimentType,"The type of experiment used.,Provide a value OR provide one of these values:,Unknown,Not collected,Not applicable,Not specified",,,ManifestColumn,True,,,,,Metadata,Proteomic Data Commons,proteomics,STRING,"A data contributor should be able to write in a name OR provide one of these values:,Not applicable,Not collected,Not specified,Unknown",
extractionMethod,"The name of the process used to separate a desired component of an input material from the remainder.,Provide a value OR provide one of these values:,Unknown,Not collected,Not applicable,Not specified","Not Specified, Not applicable, Not collected,Unknown",,ManifestColumn,True,ManifestColumn,,http://purl.obolibrary.org/obo/OBI_0302884,,Metadata,http://purl.obolibrary.org/obo/OBI_0302884,"Metabolomics,Microbiome",STRING,"A data contributor should be able to write in a name OR provide one of these values:,Not applicable,Not collected,Not specified,Unknown",
fieldCenterCode,Name of the field center ,"DK, NY, Not applicable, Not collected, Other, PT, Unknown,BU",,,True,ManifestColumn,,Sage Bionetworks,,Metadata,,Individual Human,,,
gasFlowTemperature,"e.g., nebulization gas, cone gas, etc.,Unit of measure: ,C,F,K,Not specified",,,ManifestColumn,False,ManifestColumn,,"Proposed minimum metadata relative to mass spectrometry ,Sage Bionetworks",,Metadata,"Proposed minimum metadata relative to mass spectrometry ,Sage Bionetworks",Metabolomics,NUMBER,,
gasFlowTemperatureUnit,Unit of gas flow temperature,"F, K, Not Specified,C",,ManifestColumn,False,ManifestColumn,,"Proposed minimum metadata relative to mass spectrometry ,Sage Bionetworks",,Metadata,"Proposed minimum metadata relative to mass spectrometry ,Sage Bionetworks",Metabolomics,STRING,,
hasAssayControl,"Boolean flag indicating whether or not a specimen is a technical or assay control. Examples include study pools or reference pools, blanks, or internal standards.","No,No,Yes,YesHasAssayControl,YesHasAssayControl",,ManifestColumn,True,ManifestColumn,,Sage Bionetworks,,Metadata,Sage Bionetworks,Metabolomics,BOOLEAN,,
hasIonizationSource?,Were the ionization conditions recorded to enable reproduction of the experiment?,"No,Yes,YesHasIonizationSource?",,ManifestColumn,True,,,,,Metadata,"Proposed minimum metadata relative to mass spectrometry ,Sage Bionetworks",Metabolomics,BOOLEAN,,
individualID,"Identifying string linked to the individual or animal being studied, provided by the data contributor",,,,True,ManifestColumn,,Sage Bionetworks,,Metadata,,"Biospecimen human,Biospecimen nonHuman,Individual Human,Individual nonHuman",,,
instrumentModel,"The model of the instrument used.,Provide a value OR provide one of these values:,Unknown,Not collected,Not applicable,Not specified",,,ManifestColumn,True,,,,,Metadata,"DSLWG,Proposed minimum metadata relative to mass spectrometry  ,Sage Bionetworks","Metabolomics,proteomics",STRING,"A data contributor should be able to write in a name OR provide one of these values:,Not applicable,Not collected,Not specified OR use one of these possible values linked below,Possible values are listed under the instrument model term.,Unknown,https://www.ebi.ac.uk/ols/ontologies/ms/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FMS_1000031&viewMode=All&siblings=false",
ionProperty,Ion charge state (positive or negative-ion analysis),"Negative,Positive",,ManifestColumn,False,ManifestColumn,,"Proposed minimum metadata relative to mass spectrometry ,Sage Bionetworks",,Metadata,"Proposed minimum metadata relative to mass spectrometry ,Sage Bionetworks",Metabolomics,STRING,,
isGovernanceFolder,Used to help governance to find folder to apply access restrictions,False,,,False,ManifestColumn,,,,Metadata,,,BOOLEAN,,
isobaricLabelingReagent,"Reagent set used for isobaric labeling.,Examples:,iTRAQ113,TMT126,,Provide a value OR provide one of these values:,Unknown,Not collected,Not applicable,Not specified",,,ManifestColumn,True,,,,,Metadata,Proteomics Data Commons,proteomics,STRING,"A data contributor should be able to write in a name OR provide one of these values:,Not applicable,Not collected,Not specified,Unknown",
labelFreeQuantitation,"Type of label-free data analysis strategy ,Provide a value OR provide one of these values:,Unknown,Not collected,Not applicable,Not specified","Label-free gene level quantitation,Label-free peptide level quantitation,Label-free protein group level quantitation,Label-free protein level quantitation,Label-free raw feature quantitation,OtherLabelFreeQuantitation",,ManifestColumn,True,,,,,Metadata,Proteomics Data Commons,proteomics,STRING,,
labelQuantitation,"Type of labeling used ,Provide a value OR provide one of these values:,Unknown,Not collected,Not applicable,Not specified",,,ManifestColumn,True,,,,,Metadata,"DSLWG,Proteomics Data Commons,Sage Bionetworks,https://pdc.cancer.gov/data-dictionary/dictionary.html ,https://www.ebi.ac.uk/ols/ontologies/pride/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FPRIDE_0000514&viewMode=All&siblings=false",proteomics,STRING,,
lensVoltages,"The skimmer/focusing lens voltages e.g., capillary voltage, etc.",,,ManifestColumn,False,ManifestColumn,,"Proposed minimum metadata relative to mass spectrometry ,Sage Bionetworks",,Metadata,"Proposed minimum metadata relative to mass spectrometry ,Sage Bionetworks",Metabolomics,NUMBER,,
lensVoltagesUnit,Unit of lens voltages,"AI, AU/ml, DK units/ml, HAU, IU, IU/ml, Kallikrein Inactivator Unit per Milliliter, M, MOI, NPX, Not Specified, OtherLensVoltagesUnit, PFU, PFUe, Pound, TCID50, bpg/dl, g/l, gm, iu/l, kg, l, mM, mg, mg/dl, mg/l, mg/ml, miu/ml, ml, nM, ng, ng/dl, ng/ml, ng/nl, ng/ul, nl, optical density, pM, pg, pg/mg creatinine, pg/ml, pg/nl, pg/ul, pl, uM, ug, ug/dl, ug/l, ug/ml, ug/ul, uiu/ml, ul, umol/l, units/ml,AFU",,ManifestColumn,False,ManifestColumn,,"Proposed minimum metadata relative to mass spectrometry ,Sage Bionetworks",,Metadata,"Proposed minimum metadata relative to mass spectrometry ,Sage Bionetworks",Metabolomics,STRING,,
lifeStage,The life stage of the individual. note: Other are possible depending on life stage terminology for individual species. Please let the data curation team know.,"Adult, Not applicable, Not collected, Other, Post-Juvenile, Unknown,Juvenile",,,True,ManifestColumn,,"-The%20life%20stage,Biological Collections Ontology,https://www.animalaudiograms.org/audiogram_metadata_scheme#:~:text=range%3A%20female%3B%20male-,https://www.ebi.ac.uk/ols/ontologies/pato,life%20stage",,Metadata,,Individual nonHuman,,,
measurementTechnique,"The name of the measurement technique describing the assay method.,Provide a value OR provide one of these values:,Unknown,Not collected,Not applicable,Not specified",,,ManifestColumn,True,,,,,Metadata,"ImmPort,Sage Bionetworks","Metabolomics,genotyping_assay,proteomics",STRING,"A data contributor should be able to write in a name OR provide one of these values:,Not applicable,Not collected,Not specified,Unknown",
msAnalyteType,"The type of biospecimen subjected to analysis (ex., peptide, protein, metabolite, lipid),Provide a value OR provide one of these values:,Unknown,Not collected,Not applicable,Not specified","Lipid, Not Specified, Not applicable, Not collected, Other, Unknown, metabolite,Protein",,ManifestColumn,False,ManifestColumn,,http://purl.obolibrary.org/obo/NCIT_C156434,,Metadata,"Proteomic Data Commons,http://purl.obolibrary.org/obo/NCIT_C156434,https://pdc.cancer.gov/data-dictionary/dictionary.html","Metabolomics,proteomics",STRING,"A data contributor should be able to write in a name OR provide one of these values:,Not applicable,Not collected,Not specified,Unknown",
msAnalyzerTypeMS1,"Describes the mass spectrometer analyzer used to read out parent ions (quadrupole, ion-trap, time-of-flight, FT-ICR, including combinations of these for hybrid instruments)","Bruker Avance IIITimsTOF ProOtherMsAnalyzerTypeMS1, Exploris 240Exploris 480quadrupole time-of-flight, Not Specified, Not applicable, Not collected, Orbitrap Fusion, Orbitrap Fusion Lumos, Q Exactive, Q Exactive HF, Q Exactive HF-X, Q Exactive Plus, Unknown, Xevo G2 QTOF, Xevo TQ-S, time-of-flight, triple quadrupole,Bruker Avance III,Exploris 240,Exploris 480,LTQ Orbitrap XL,Orbitrap Fusion,Orbitrap Fusion Lumos,OtherMsAnalyzerTypeMS1 ,Q Exactive,Q Exactive HF,Q Exactive HF-X,Q Exactive Plus,TimsTOF Pro,Xevo G2 QTOF,Xevo TQ-S,quadrupole time-of-flight,time-of-flight,triple quadrupole",,ManifestColumn,True,ManifestColumn,,"Proposed minimum metadata relative to mass spectrometry ,Sage Bionetworks",,Metadata,"Proposed minimum metadata relative to mass spectrometry ,Sage Bionetworks","Metabolomics,proteomics",STRING,,
msAnalyzerTypeMS2,"Describes the mass spectrometer analyzer used to read out fragment ions(quadrupole, ion-trap, time-of-flight, FT-ICR, including combinations of these for hybrid instruments)","Bruker Avance IIITimsTOF ProOtherMsAnalyzerTypeMS2, Exploris 240Exploris 480quadrupole time-of-flight, Not Specified, Not applicable, Not collected, Orbitrap Fusion, Orbitrap Fusion Lumos, Q Exactive, Q Exactive HF, Q Exactive HF-X, Q Exactive Plus, Unknown, Xevo G2 QTOF, Xevo TQ-S, time-of-flight, triple quadrupole,Bruker Avance III,Exploris 240,Exploris 480,LTQ Orbitrap XL,Orbitrap Fusion,Orbitrap Fusion Lumos,OtherMsAnalyzerTypeMS2 ,Q Exactive,Q Exactive HF,Q Exactive HF-X,Q Exactive Plus,TimsTOF Pro,Xevo G2 QTOF,Xevo TQ-S,quadrupole time-of-flight,time-of-flight,triple quadrupole",,ManifestColumn,True,ManifestColumn,,"Proposed minimum metadata relative to mass spectrometry ,Sage Bionetworks",,Metadata,"Proposed minimum metadata relative to mass spectrometry ,Sage Bionetworks","Metabolomics,proteomics",STRING,,
msAssayTechnique,"Specified the mass spectrometer technique used or the name of the proteomics assay used (ex. DDA),Provide a value OR provide one of these values:,Unknown,Not collected,Not applicable,Not specified","DIA-MS, FIA-MSMS, HPLC-MSMS, LC-MS, LC-MSMS, LC-SRMOtherMsAssayTechnique, MDMS-SL, MIB-MS, Not Specified, Not applicable, Not collected, UPLC-ESI-QTOF-MS, UPLC-MSMS, Unknown,DDA-MS",,ManifestColumn,True,ManifestColumn,,"DSLWG,Sage Bionetworks",,Metadata,"DSLWG,Sage Bionetworks","Metabolomics,proteomics",STRING,"A data contributor should be able to write in a name OR provide one of these values:,Not applicable,Not collected,Not specified,Unknown",
msTarget,Specifies whether or not a specific molecule(s) is/are targeted for detection/measurement by the assay,"Not Specified, Not applicable, Not collected, UnTargetedMsTarget, Unknown,Targeted,TargetedMsTarget,TargetedMsTarget ,Untargeted",,ManifestColumn,True,ManifestColumn,,Sage Bionetworks,,Metadata,"DSLWG,Sage Bionetworks","Metabolomics,proteomics",STRING,,
