Attribute,Description,Valid Values,DependsOn,Properties,Required,Parent,DependsOn Component,Source,Validation Rules,Module,Ontology,UsedIn,columnType,Notes,multivalue
cellHashing,,,,,False,ValidValue,,,,ValidValues,,,,,
Centenarian,,,,,False,ValidValue,,,,ValidValues,,,,,
Cerebrospinal Fluid (CSF),,,,,False,ValidValue,,,,ValidValues,,,,,
Cherry Imaging FACE Platform,,,,,False,ValidValue,,,,ValidValues,,,,,
Cherry Imaging TRACE Platform,,,,,False,ValidValue,,,,ValidValues,,,,,
Chromium Single Cell 3',,,,,False,ValidValue,,,,ValidValues,,,,,
Chromium X,,,,,False,ValidValue,,,,ValidValues,,,,,
d.p.c.,Days post coitum,,,,False,ValidValue,,,,ValidValues,,,,,
dbGAP,,,,,False,ValidValue,,,,ValidValues,,,,,
DDA-MS,,,,,False,ValidValue,,,,ValidValues,,,,,
Denmark Family,,,,,False,ValidValue,,,,ValidValues,,,,,
DIA-MS,,,,,False,ValidValue,,,,ValidValues,,,,,
DK,,,,,False,ValidValue,,,,ValidValues,,,,,
DK units/ml,,,,,False,MeasurementUnit,,,,ValidValues,,,,,
ENA,,,,,False,ValidValue,,,,ValidValues,,,,,
EndItDNAEndRepairKit,,,,,False,ValidValue,,,,ValidValues,,,,,
Ensembl,,,,,False,ValidValue,,,,ValidValues,,,,,
FALSE,,,,,False,ValidValue,,,,ValidValues,,,,,
Filename,Name of the file. This helps to link annotations from metadata files.,,,,True,ManifestColumn,,,,ValidValues,,,,,
FlowRepository,,,,,False,ValidValue,,,,ValidValues,,,,,
forward,,,,,False,ValidValue,,,,ValidValues,,,,,
FPKM,,,,,False,ValidValue,,,,ValidValues,,,,,
g/l,,,,,False,MeasurementUnit,,,,ValidValues,,,,,
GenBank,,,,,False,ValidValue,,,,ValidValues,,,,,
GEO,,,,,False,ValidValue,,,,ValidValues,,,,,
GIS,,,,,False,ValidValue,,,,ValidValues,,,,,
GISAID,,,,,False,ValidValue,,,,ValidValues,,,,,
gm,,,,,False,MeasurementUnit,,,,ValidValues,,,,,
GoldenWest,,,,,False,ValidValue,,,,ValidValues,,,,,
HAU,,,,,False,MeasurementUnit,,,,ValidValues,,,,,
Hispanic or latino,"A coded value specifying the self-declared ethnic origination independent of racial origination, provided by the data contributor's data dictionary",,ethnicGroupCode,,False,ValidValue,,https://ncithesaurus.nci.nih.gov/ncitbrowser/pages/concept_details.jsfdictionary=NCI_Thesaurus&version=23.04d&code=C93563&ns=ncit&type=properties&key=1040179992&b=1&n=0&vse=null,,ValidValues,,,,,
HMDB,,,,,False,ValidValue,,,,ValidValues,,,,,
HPLC-MSMS,,,,,False,ValidValue,,,,ValidValues,,,,,
IEDB,,,,,False,ValidValue,,,,ValidValues,,,,,
ImmPort,,,,,False,ValidValue,,,,ValidValues,,,,,
in-gel,,,,,False,ValidValue,,,,ValidValues,,,,,
in-solution,,,,,False,ValidValue,,,,ValidValues,,,,,
Infinium HumanOmniExpressExome,,,,,False,ValidValue,,,,ValidValues,,,,,
internal standards,,,,,False,ValidValue,,,,ValidValues,,,,,
ITRAQ,,,,,False,ValidValue,,,,ValidValues,,,,,
IU,,,,,False,MeasurementUnit,,,,ValidValues,,,,,
iu/l,,,,,False,MeasurementUnit,,,,ValidValues,,,,,
IU/ml,,,,,False,MeasurementUnit,,,,ValidValues,,,,,
Juvenile,,,,,False,ValidValue,,,,ValidValues,,,,,
K,,,,,False,ValidValue,,,,ValidValues,,,,,
Kallikrein Inactivator Unit per Milliliter,,,,,False,MeasurementUnit,,,,ValidValues,,,,,
KapaHyperPrep,,,,,False,ValidValue,,,,ValidValues,,,,,
kg,,,,,False,MeasurementUnit,,,,ValidValues,,,,,
l,,,,,False,MeasurementUnit,,,,ValidValues,,,,,
Label Free,,,,,False,ValidValue,,,,ValidValues,,,,,
LC-MS,,,,,False,ValidValue,,,,ValidValues,,,,,
LC-MSMS,,,,,False,ValidValue,,,,ValidValues,,,,,
LC-SRMOtherMsAssayTechnique,,,,,False,ValidValue,,,,ValidValues,,,,,
LI-COR Odyssey CLx,,,,,False,ValidValue,,,,ValidValues,,,,,
LifeViz Infinity System,,,,,False,ValidValue,,,,ValidValues,,,,,
LifeViz Micro System,,,,,False,ValidValue,,,,ValidValues,,,,,
lincRNA,,,,,False,ValidValue,,,,ValidValues,,,,,
lncRNAenrichment,,,,,False,ValidValue,,,,ValidValues,,,,,
LTQ Orbitrap XL,,,,,False,ValidValue,,,,ValidValues,,,,,
M,Molar,,,,False,MeasurementUnit,,,,ValidValues,,,,,
Male,,,,,False,ValidValue,,,,ValidValues,,,,,
Mammal,,,,,False,ValidValue,,,,ValidValues,,,,,
MassBank of North America (MoNA),,,,,False,ValidValue,,,,ValidValues,,,,,
MassIVE,,,,,False,ValidValue,,,,ValidValues,,,,,
MDMS-SL,,,,,False,ValidValue,,,,ValidValues,,,,,
MetaboLights,,,,,False,ValidValue,,,,ValidValues,,,,,
metabolite,,,,,False,ValidValue,,,,ValidValues,,,,,
Metabolomics Workbench,,,,,False,ValidValue,,,,ValidValues,,,,,
methylSeq,,,,,False,ValidValue,,,,ValidValues,,,,,
Metlin,,,,,False,ValidValue,,,,ValidValues,,,,,
mg,,,,,False,MeasurementUnit,,,,ValidValues,,,,,
mg/dl,,,,,False,MeasurementUnit,,,,ValidValues,,,,,
mg/l,,,,,False,MeasurementUnit,,,,ValidValues,,,,,
mg/ml,,,,,False,MeasurementUnit,,,,ValidValues,,,,,
MGnify,,,,,False,ValidValue,,,,ValidValues,,,,,
MIB-MS,,,,,False,ValidValue,,,,ValidValues,,,,,
Minutes,,,,,False,ValidValue,,,,ValidValues,,,,,
miRNAenrichment,,,,,False,ValidValue,,,,ValidValues,,,,,
mitochondria,,,,,False,ValidValue,,,,ValidValues,,,,,
miu/ml,,,,,False,MeasurementUnit,,,,ValidValues,,,,,
ml,,,,,False,MeasurementUnit,,,,ValidValues,,,,,
mM,,,,,False,MeasurementUnit,,,,ValidValues,,,,,
MOI,,,,,False,MeasurementUnit,,,,ValidValues,,,,,
MONDO,,,,,False,ValidValue,,,,ValidValues,,,,,
mRNA,,,,,False,ValidValue,,,,ValidValues,,,,,
multiome,,,,,False,ValidValue,,,,ValidValues,,,,,
MULTIseq,,,,,False,ValidValue,,,,ValidValues,,,,,
Nanostring Counter,,,,,False,ValidValue,,,,ValidValues,,,,,
Nanostring GeoMx,,,,,False,ValidValue,,,,ValidValues,,,,,
NCBI Gene,,,,,False,ValidValue,,,,ValidValues,,,,,
NEBNext,,,,,False,ValidValue,,,,ValidValues,,,,,
Negative,,,,,False,ValidValue,,,,ValidValues,,,,,
Negative Control,,,,,False,ValidValue,,,,ValidValues,,,,,
NexteraXT,,,,,False,ValidValue,,,,ValidValues,,,,,
ng,,,,,False,MeasurementUnit,,,,ValidValues,,,,,
ng/dl,,,,,False,MeasurementUnit,,,,ValidValues,,,,,
ng/ml,,,,,False,MeasurementUnit,,,,ValidValues,,,,,
ng/nl,,,,,False,MeasurementUnit,,,,ValidValues,,,,,
ng/ul,,,,,False,MeasurementUnit,,,,ValidValues,,,,,
NIST SRM 1950,,,,,False,ValidValue,,,,ValidValues,,,,,
NIST17,,,,,False,ValidValue,,,,ValidValues,,,,,
nl,,,,,False,MeasurementUnit,,,,ValidValues,,,,,
nM,,,,,False,MeasurementUnit,,,,ValidValues,,,,,
No,,,,,False,ValidValue,,,,ValidValues,,,,,
NPX,,,,,False,MeasurementUnit,,,,ValidValues,,,,,
NY,,,,,False,ValidValue,,,,ValidValues,,,,,
Olympus DP80,,,,,False,ValidValue,,,,ValidValues,,,,,
Omni-ATAC,,,,,False,ValidValue,,,,ValidValues,,,,,
optical density,,,,,False,MeasurementUnit,,,,ValidValues,,,,,
Orbitrap Fusion,,,,,False,ValidValue,,,,ValidValues,,,,,
Orbitrap Fusion Lumos,,,,,False,ValidValue,,,,ValidValues,,,,,
Orbitrap Fusion Lumos Tribrid,,,,,False,ValidValue,,,,ValidValues,,,,,
organoid,,,,,False,ValidValue,,,,ValidValues,,,,,
PacBio RS II,,,,,False,ValidValue,,,,ValidValues,,,,,
PacBio Sequel II System,,,,,False,ValidValue,,,,ValidValues,,,,,
PacBio Sequel IIe System,,,,,False,ValidValue,,,,ValidValues,,,,,
pairedEnd,,,,,False,ValidValue,,,,ValidValues,,,,,
PCRfree,,,,,False,ValidValue,,,,ValidValues,,,,,
Perlegen 300Karray,,,,,False,ValidValue,,,,ValidValues,,,,,
PFU,,,,,False,MeasurementUnit,,,,ValidValues,,,,,
PFUe,,,,,False,MeasurementUnit,,,,ValidValues,,,,,
pg,,,,,False,MeasurementUnit,,,,ValidValues,,,,,
pg/mg creatinine,,,,,False,MeasurementUnit,,,,ValidValues,,,,,
pg/ml,,,,,False,MeasurementUnit,,,,ValidValues,,,,,
pg/nl,,,,,False,MeasurementUnit,,,,ValidValues,,,,,
pg/ul,,,,,False,MeasurementUnit,,,,ValidValues,,,,,
pl,,,,,False,MeasurementUnit,,,,ValidValues,,,,,
pM,,,,,False,MeasurementUnit,,,,ValidValues,,,,,
polyAselection,,,,,False,ValidValue,,,,ValidValues,,,,,
Positive,,,,,False,ValidValue,,,,ValidValues,,,,,
Post-Juvenile,,,,,False,ValidValue,,,,ValidValues,,,,,
Pound,,,,,False,MeasurementUnit,,,,ValidValues,,,,,
PRIDE,,,,,False,ValidValue,,,,ValidValues,,,,,
Primate,,,,,False,ValidValue,,,,ValidValues,,,,,
Promega GloMax Discover,,,,,False,ValidValue,,,,ValidValues,,,,,
proximity ligation,,,,,False,ValidValue,,,,ValidValues,,,,,
PT,,,,,False,ValidValue,,,,ValidValues,,,,,
Q Exactive,,,,,False,ValidValue,,,,ValidValues,,,,,
Q Exactive HF,,,,,False,ValidValue,,,,ValidValues,,,,,
Q Exactive HF-X,,,,,False,ValidValue,,,,ValidValues,,,,,
Q Exactive Plus,,,,,False,ValidValue,,,,ValidValues,,,,,
Q Exative HF,,,,,False,ValidValue,,,,ValidValues,,,,,
reverse,,,,,False,ValidValue,,,,ValidValues,,,,,
RPKM,,,,,False,ValidValue,,,,ValidValues,,,,,
rRNAdepletion,,,,,False,ValidValue,,,,ValidValues,,,,,
sac-seq,,,,,False,ValidValue,,,,ValidValues,,,,,
scale,,,,,False,ValidValue,,,,ValidValues,,,,,
Seconds,,,,,False,ValidValue,,,,ValidValues,,,,,
SILAC,,,,,False,ValidValue,,,,ValidValues,,,,,
single cell,,,,,False,ValidValue,,,,ValidValues,,,,,
single nucleus,,,,,False,ValidValue,,,,ValidValues,,,,,
singleEnd,,,,,False,ValidValue,,,,ValidValues,,,,,
Smart-seq1,,,,,False,ValidValue,,,,ValidValues,,,,,
Smart-seq2,,,,,False,ValidValue,,,,ValidValues,,,,,
Smart-seq4,,,,,False,ValidValue,,,,ValidValues,,,,,
SMRTbell,,,,,False,ValidValue,,,,ValidValues,,,,,
snRNA,,,,,False,ValidValue,,,,ValidValues,,,,,
sorted cells,,,,,False,ValidValue,,,,ValidValues,,,,,
sorted nuclei,,,,,False,ValidValue,,,,ValidValues,,,,,
Spectramax M Series,,,,,False,ValidValue,,,,ValidValues,,,,,
SPLITseq,,,,,False,ValidValue,,,,ValidValues,,,,,
SRA,,,,,False,ValidValue,,,,ValidValues,,,,,
STARRSeq,,,,,False,ValidValue,,,,ValidValues,,,,,
stool,,,,,False,ValidValue,,,,ValidValues,,,,,
Stranded,,,,,False,ValidValue,,,,ValidValues,,,,,
Study of Osteoporotic Fractures (SOF),,,,,False,ValidValue,,,,ValidValues,,,,,
study pool,,,,,False,ValidValue,,,,ValidValues,,,,,
studyKey,Short name of studies found in project,"Aging-PheWAS, ELPSCRNA, LLFS, MRGWAS, NECS, Organoid scRNAseq,ADAMTS7",,,,ValidValue,,,,ValidValues,,,,,
SureCell,,,,,False,ValidValue,,,,ValidValues,,,,,
swabs,,,,,False,ValidValue,,,,ValidValues,,,,,
Targeted Absolute Quantitation,,,,,False,ValidValue,,,,ValidValues,,,,,
TargetedMsTarget,the type of biospecimen subjected to analysis,"Lipid, Not Specified, Not applicable, Not collected, Other, Unknown, metabolite,Protein",msAnalyteType,,False,ValidValue,,http://purl.obolibrary.org/obo/NCIT_C156434,,ValidValues,,,,,
TCID50,,,,,False,MeasurementUnit,,,,ValidValues,,,,,
The Osteoporotic Fractures in Men (MrOS) Study,,,,,False,ValidValue,,,,ValidValues,,,,,
time-of-flight,,,,,False,ValidValue,,,,ValidValues,,,,,
TMT,,,,,False,ValidValue,,,,ValidValues,,,,,
totalRNA,,,,,False,ValidValue,,,,ValidValues,,,,,
TPM,,,,,False,ValidValue,,,,ValidValues,,,,,
triple quadrupole,,,,,False,ValidValue,,,,ValidValues,,,,,
TRUE,Indicate the disease or condition.,,,,False,ValidValue,,LLFS data dictionary,,ValidValues,,,,,
TruSeq,,,,,False,ValidValue,,,,ValidValues,,,,,
TruSeqOtherLibraryPreparationMethod,,,,,False,ValidValue,,,,ValidValues,,,,,
ug,,,,,False,MeasurementUnit,,,,ValidValues,,,,,
ug/dl,,,,,False,MeasurementUnit,,,,ValidValues,,,,,
ug/l,,,,,False,MeasurementUnit,,,,ValidValues,,,,,
ug/ml,,,,,False,MeasurementUnit,,,,ValidValues,,,,,
ug/ul,,,,,False,MeasurementUnit,,,,ValidValues,,,,,
uiu/ml,,,,,False,MeasurementUnit,,,,ValidValues,,,,,
ul,,,,,False,MeasurementUnit,,,,ValidValues,,,,,
Ultralow Methyl-Seq,,,,,False,ValidValue,,,,ValidValues,,,,,
uM,,,,,False,MeasurementUnit,,,,ValidValues,,,,,
umol/l,Micromoles per liter,,,,False,MeasurementUnit,,,,ValidValues,,,,,
UniProt,,,,,False,ValidValue,,,,ValidValues,,,,,
units/ml,,,,,False,MeasurementUnit,,,,ValidValues,,,,,
UnTargetedMsTarget,,,,,False,ValidValue,,,,ValidValues,,,,,
UnTargetedMsTargetUnknown,,,,,False,ValidValue,,,,ValidValues,,,,,
UPLC-ESI-QTOF-MS,,,,,False,ValidValue,,,,ValidValues,,,,,
UPLC-MSMS,,,,,False,ValidValue,,,,ValidValues,,,,,
US Family,Name of the cohort,,,,False,ValidValue,,,,ValidValues,,,,,
Vectra H1 3D Imaging System,,,,,False,ValidValue,,,,ValidValues,,,,,
Vevo 3100 Imaging System,,,,,False,ValidValue,,,,ValidValues,,,,,
water plus Baker ISTD,,,,,False,ValidValue,,,,ValidValues,,,,,
Weeks,,,,,False,ValidValue,,,,ValidValues,,,,,
Wild,,,,,False,ValidValue,,,,ValidValues,,,,,
Xevo G2 QTOF,,,,,False,ValidValue,,,,ValidValues,,,,,
Xevo TQ-S,,,,,False,ValidValue,,,,ValidValues,,,,,
Years,,,,,False,ValidValue,,,,ValidValues,,,,,
YesHasAssayControl,Control samples suitable for normalization and batch correction,"AIBL pool, Baker pool, GoldenWest, NIST SRM 1950, Not Specified, Not applicable, Not collected, Other, Unknown, internal standards, study pool, water plus Baker ISTD,GIS",controlType,,False,ValidValue,,https://doi.org/10.1101/2020.05.19.105197https://doi.org/10.1038/sdata.2017.140https://www-s.nist.gov/srmors/view_detail.cfmsrm=1950Sage BionetworksDSLWG,,ValidValues,,,,,
YesHasIonizationSource,"When ionProperty = `other`, add your custom value to the cell,Ion charge state (positive or negative-ion analysis)","Negative,Positive",ionProperty,,False,ValidValue,,"Proposed minimum metadata relative to mass spectrometry ,Sage Bionetworks",,ValidValues,,,,,
YesUseReagent,"One or more identifiers, separated by a semicolon (;). The reagent identifier(s) must be stored in a data dictionary .csv file uploaded to Synapse",,reagentID(s),,False,ValidValue,,"ImmPort,Sage Bionetworks",,ValidValues,,,,,
YesUseTreatment,"One or more identifiers, separated by a semicolon (;). The treatment identifier(s) must be stored in a data dictionary .csv file uploaded to Synapse",,treatmentID(s),,False,ValidValue,,"ImmPort,Sage Bionetworks",,ValidValues,,,,,
Zeiss LSM 980,Instrument Name,,,,False,ValidValue,,,,ValidValues,,,,,
