Attribute,Description,Valid Values,DependsOn,Properties,Required,Parent,DependsOn Component,Source,Validation Rules,Module,Ontology,UsedIn,columnType,Notes,multivalue
readStrandOrigin,The strand from which the read originates in a strand-specific protocol,"reverse,forward",,,True,ManifestColumn,,Sage Bionetworks,,Assay,,"Microbiome,RNAseq,Whole Genome Sequencing,bsSeq,scRNAseq",,,
reagentCatalogNumber,"If the assay reagent is a commercial product, enter the vendor's catalog identifier. If the reagent is a custom preparation enter 'NA'. ",,,,False,ManifestColumn,,"ImmPort,Sage Bionetworks",,Assay,,genotyping_assay,,,
reagentContact,The contact information is particularly helpful when the reagent is not from a commercial vendor.,,,,False,ManifestColumn,,"ImmPort,Sage Bionetworks",,Assay,,genotyping_assay,,,
reagentID(s),"One or more identifiers, separated by a semicolon (;). The reagent identifier(s) must be stored in a data dictionary .csv file uploaded to Synapse",,,,False,ManifestColumn,,"ImmPort,Sage Bionetworks",,Assay,,genotyping_assay,,,
reagentLotNumber,The lot number is often provided by a reagent source when the reagent is replenished over time. ,,,,False,ManifestColumn,,"ImmPort,Sage Bionetworks",,Assay,,genotyping_assay,,,
reagentManufacturer,"The manufacturer is the source of a reagent and may include commercial vendors as well as non-commercial sources (e.g., collaborating labs)",,,,False,ManifestColumn,,"ImmPort,Sage Bionetworks",,Assay,,genotyping_assay,,,
reagentName,The reagent name is an alternative to the Reagent ID,,,,False,ManifestColumn,,"ImmPort,Sage Bionetworks",,Assay,,genotyping_assay,,,
reagentWeblink,An internet address that may provide details of an assay reagent.,,,,False,ManifestColumn,,"ImmPort,Sage Bionetworks",,Assay,,genotyping_assay,,,
referenceTranscriptID,The ID for the transcript/gene. Either the NCBI ID or the Ensembl ID must be provided,,,,True,ManifestColumn,,Sage Bionetworks,,Assay,,"RNAseq,Whole Genome Sequencing,bsSeq,scRNAseq",,,
rnaBatchID,"RNA isolation batch identifier, provided by the data contributor to Sage Bionetworks. The batch identifier(s) must be stored in a data dictionary .csv file uploaded to Synapse",,,,True,ManifestColumn,,Sage Bionetworks,,Assay,,"Whole Genome Sequencing,scRNAseq",,,
rnaBatchSize,The number of samples,,,,False,ManifestColumn,,Sage Bionetworks,,Assay,,scRNAseq,,,
rnaBatchSizeUnit,The unit of measurement for number of samples in a batch,"AI, AU/ml, DK units/ml, HAU, IU, IU/ml, Kallikrein Inactivator Unit per Milliliter, M, MOI, NPX, Not Specified, OtherRnaBatchSizeUnit, PFU, PFUe, Pound, TCID50, bpg/dl, g/l, gm, iu/l, kg, l, mM, mg, mg/dl, mg/l, mg/ml, miu/ml, ml, nM, ng, ng/dl, ng/ml, ng/nl, ng/ul, nl, optical density, pM, pg, pg/mg creatinine, pg/ml, pg/nl, pg/ul, pl, uM, ug, ug/dl, ug/l, ug/ml, ug/ul, uiu/ml, ul, umol/l, units/ml,AFU",,,True,ManifestColumn,,Sage Bionetworks,,Assay,,scRNAseq,,,
runType,The type of run,"pairedEnd,singleEnd",,,True,ManifestColumn,,Sage Bionetworks,,Assay,,"Microbiome,RNAseq,Whole Genome Sequencing,bsSeq,scRNAseq",,,
sequencingBatchID,"Sequencing batch identifier, provided by the data contributor to Sage Bionetworks. The batch identifier(s) must be stored in a data dictionary .csv file uploaded to Synapse","Not Specified, Not applicable, Not collected,Unknown",,,True,ManifestColumn,,Sage Bionetworks,,Assay,,"Microbiome,Whole Genome Sequencing,bsSeq,scRNAseq",,,
sequencingBatchSize,The number of samples,,,,True,ManifestColumn,,Sage Bionetworks,,Assay,,"Microbiome,bsSeq,scRNAseq",,,
sequencingBatchSizeUnit,The unit of measurement for number of samples in a batch,"AI, AU/ml, DK units/ml, HAU, IU, IU/ml, Kallikrein Inactivator Unit per Milliliter, M, MOI, NPX, Not Specified, OtherSequencingBatchSizeUnit, PFU, PFUe, Pound, TCID50, bpg/dl, g/l, gm, iu/l, kg, l, mM, mg, mg/dl, mg/l, mg/ml, miu/ml, ml, nM, ng, ng/dl, ng/ml, ng/nl, ng/ul, nl, optical density, pM, pg, pg/mg creatinine, pg/ml, pg/nl, pg/ul, pl, uM, ug, ug/dl, ug/l, ug/ml, ug/ul, uiu/ml, ul, umol/l, units/ml,AFU",,,True,ManifestColumn,,Sage Bionetworks,,Assay,,"Microbiome,bsSeq,scRNAseq",,,
totalReads,Total number of sequencing reads from a library.,,,,True,ManifestColumn,,Sage Bionetworks,,Assay,,"Microbiome,RNAseq,Whole Genome Sequencing,bsSeq,scRNAseq",,,
