key,description,valid values,required,requires,multivalue,type,concept source ontology,note
controlType,"Control samples suitable for normalization and batch correction.Possible example values: GIS, GoldenWest, NIST SRM 1950, AIBL pool,Baker pool,water plus Baker ISTD, study pool, internal standards, Other, Unknown, Not collected, Not applicable, Not specified",,false,"metabolomics, hasAssayControl = Yes",false,string,https://doi.org/10.1101/2020.05.19.105197 https://doi.org/10.1038/sdata.2017.140 https://www-s.nist.gov/srmors/view_detail.cfm?srm=1950 Sage Bionetworks DSLWG,"A data contributor should be able to write in a name OR provide one of these values: Unknown Not collected, Not applicable, Not specified"
experiementalBatchSize,The number of samples ,,false,metabolomics,false,number,Sage Bionetworks,
experiementalBatchSizeUnit,The unit of measurement for number of samples in a experimental batch,"AFU, AI, AU/ml, DK units/ml, bp g/dl, g/l, gm, HAU, IU, iu/l, IU/ml, Kallikrein Inactivator Unit per Milliliter, kg, l, M, mg, mg/dl, mg/l, mg/ml, miu/ml, ml, mM, MOI, ng, ng/dl, ng/ml, ng/nl, ng/ul, nl, nM, Not Specified, NPX, optical density, PFU, PFUe, pg, pg/mg creatinine, pg/ml, pg/nl, pg/ul, pl, pM, Pound, TCID50, ug, ug/dl, ug/l, ug/ml, ug/ul, uiu/ml, ul, uM, umol/l, units/ml",false,"metabolomics, experimentalBatchSize",false,string,Sage Bionetworks,
batchSize,The number of samples,,false,metabolomics,false,number,Sage Bionetworks,
batchSizeUnit,The unit of measurement for number of samples in a batch,"AFU, AI, AU/ml, DK units/ml, bp g/dl, g/l, gm, HAU, IU, iu/l, IU/ml, Kallikrein Inactivator Unit per Milliliter, kg, l, M, mg, mg/dl, mg/l, mg/ml, miu/ml, ml, mM, MOI, ng, ng/dl, ng/ml, ng/nl, ng/ul, nl, nM, Not Specified, NPX, optical density, PFU, PFUe, pg, pg/mg creatinine, pg/ml, pg/nl, pg/ul, pl, pM, Pound, TCID50, ug, ug/dl, ug/l, ug/ml, ug/ul, uiu/ml, ul, uM, umol/l, units/ml",false,"metabolomics, batchSize",false,string,Sage Bionetworks,
batchID,"ID used to identify a batch, provided by the data contributor to Sage Bionetworks. The batch identifier(s) must be stored in a data dictionary .csv file uploaded to Synapse", ,false,metabolomics,false,string,Sage Bionetworks,
batchLabel,Used to supply batch label information with any string value,,false,metabolomics,false,string,http://purl.obolibrary.org/obo/MS_4000088,
sampleBatchID,"Sample batch lot identifier, provided by the data contributor to Sage Bionetworks. The batch identifier(s) must be stored in a data dictionary .csv file uploaded to Synapse", ,false,metabolomics,false,string,http://purl.obolibrary.org/obo/MS_1000053,
sampleBatchSize,The number of samples,,false,metabolomics,false,string,Sage Bionetworks,
sampleBatchSizeUnit,The unit of measurement for number of samples in a batch,"AFU, AI, AU/ml, DK units/ml, bp g/dl, g/l, gm, HAU, IU, iu/l, IU/ml, Kallikrein Inactivator Unit per Milliliter, kg, l, M, mg, mg/dl, mg/l, mg/ml, miu/ml, ml, mM, MOI, ng, ng/dl, ng/ml, ng/nl, ng/ul, nl, nM, Not Specified, NPX, optical density, PFU, PFUe, pg, pg/mg creatinine, pg/ml, pg/nl, pg/ul, pl, pM, Pound, TCID50, ug, ug/dl, ug/l, ug/ml, ug/ul, uiu/ml, ul, uM, umol/l, units/ml",false,"metabolomics, sampleBatchSize",false,string,Sage Bionetworks,
acquisitionBatchID,"Acquisition batch identifier, provided by the data contributor to Sage Bionetworks. The batch identifier(s) must be stored in a data dictionary .csv file uploaded to Synapse", ,false,metabolomics,false,string,Sage Bionetworks,
acquisitionBatchSize,The number of samples,,false, metabolomics,false,string,Sage Bionetworks,
acquisitionBatchSizeUnit,The unit of measurement for number of samples in a batch,"AFU, AI, AU/ml, DK units/ml, bp g/dl, g/l, gm, HAU, IU, iu/l, IU/ml, Kallikrein Inactivator Unit per Milliliter, kg, l, M, mg, mg/dl, mg/l, mg/ml, miu/ml, ml, mM, MOI, ng, ng/dl, ng/ml, ng/nl, ng/ul, nl, nM, Not Specified, NPX, optical density, PFU, PFUe, pg, pg/mg creatinine, pg/ml, pg/nl, pg/ul, pl, pM, Pound, TCID50, ug, ug/dl, ug/l, ug/ml, ug/ul, uiu/ml, ul, uM, umol/l, units/ml",false,"metabolomics, acquisitionBatchSize",false,string,Sage Bionetworks,
processingBatchID,"Processing batch identifier, provided by the data contributor to Sage Bionetworks. The batch identifier(s) must be stored in a data dictionary .csv file uploaded to Synapse", ,false, metabolomics,false,string,Sage Bionetworks,
processingBatchSize,The number of samples,,false, metabolomics,false,string,Sage Bionetworks,
processingBatchSizeUnit,The unit of measurement for number of samples in a batch,"AFU, AI, AU/ml, DK units/ml, bp g/dl, g/l, gm, HAU, IU, iu/l, IU/ml, Kallikrein Inactivator Unit per Milliliter, kg, l, M, mg, mg/dl, mg/l, mg/ml, miu/ml, ml, mM, MOI, ng, ng/dl, ng/ml, ng/nl, ng/ul, nl, nM, Not Specified, NPX, optical density, PFU, PFUe, pg, pg/mg creatinine, pg/ml, pg/nl, pg/ul, pl, pM, Pound, TCID50, ug, ug/dl, ug/l, ug/ml, ug/ul, uiu/ml, ul, uM, umol/l, units/ml",false,"metabolomics, processingBatchSize",false,string,Sage Bionetworks,
