key,description,valid values,required,requires,multivalue,type,concept source ontology,note
readLengthUnits,The units of measurement.,"AFU, AI, AU/ml, DK units/ml, bp g/dl, g/l, gm, HAU, IU, iu/l, IU/ml, Kallikrein Inactivator Unit per Milliliter, kg, l, M, mg, mg/dl, mg/l, mg/ml, miu/ml, ml, mM, MOI, ng, ng/dl, ng/ml, ng/nl, ng/ul, nl, nM, Not Specified, NPX, optical density, PFU, PFUe, pg, pg/mg creatinine, pg/ml, pg/nl, pg/ul, pl, pM, Pound, TCID50, ug, ug/dl, ug/l, ug/ml, ug/ul, uiu/ml, ul, uM, umol/l, units/ml, other",true,"bsSeq, readLength",false,string,Sage Bionetworks,
runType,The type of run,singleEnd pairedEnd,true,bsSeq,false,string,Sage Bionetworks,
totalReads,Total number of sequencing reads from a library. ,,true,bsSeq,false,number,Sage Bionetworks,
directionalBSseqLibrary,Indicates whether or not the bisulfiteSeq library is directional,"True,False, Unknown, Not collected, Not applicable, Not specified ",true,bsSeq,false,string,Sage Bionetworks,
gDNAconc,gDNA Concentration in ng,,true,bsSeq,false,number,Sage Bionetworks,
lambdaDNAconc,Lambda DNA spike-in concentration in ng,,true,bsSeq,false,number,Sage Bionetworks,
pcrCycles,Number of PCR cycles to amplify transposased DNA fragments,,true,bsSeq,false,number,Sage Bionetworks,
meanCoverage,Total number of bases covered by ATAC-seq reads/size of genome,,true,bsSeq,false,number,Sage Bionetworks,
conversionRatio,The ratio or % detailing how well the bisulfite conversion worked,,true,bsSeq,false,string,Sage Bionetworks,
conversionRatioUnits,The units of measurement.,"AFU, AI, AU/ml, DK units/ml, bp g/dl, g/l, gm, HAU, IU, iu/l, IU/ml, Kallikrein Inactivator Unit per Milliliter, kg, l, M, mg, mg/dl, mg/l, mg/ml, miu/ml, ml, mM, MOI, ng, ng/dl, ng/ml, ng/nl, ng/ul, nl, nM, Not Specified, NPX, optical density, PFU, PFUe, pg, pg/mg creatinine, pg/ml, pg/nl, pg/ul, pl, pM, Pound, TCID50, ug, ug/dl, ug/l, ug/ml, ug/ul, uiu/ml, ul, uM, umol/l, units/ml, other",true,"bsSeq, readLength",false,string,Sage Bionetworks,
enrichmentMethod,"The method used for performing an enrichment of specific regions by a restriction enzyme digest.Provide a value OR provide one of these values: Unknown Not collected, Not applicable, Not specified",,true,bsSeq,false,string,Sage Bionetworks,"A data contributor should be able to write in a name OR provide one of these values: Unknown Not collected, Not applicable, Not specified"
