key,description,valid values,required,requires,multivalue,type,concept source ontology,note
arrayInformation,"Additional information about the genotyping array. For example, for targeted arrays, please provide the specific type of array.Example: Immunochip",,false,genotyping,false,string,"Sage Bionetworks, EMBL-EBI","A data contributor should be able to write in a name OR provide one of these values: Unknown Not collected, Not applicable, Not specified"
imputation,Were SNPs imputed for the discovery GWAS?,"Yes, No",true,genotyping,false,string,"Sage Bionetworks, EMBL-EBI",
imputationPanel,Panel used for imputation.Example: 1000 Genomes Phase 3,,false,genotyping,false,string,"Sage Bionetworks, EMBL-EBI","A data contributor should be able to write in a name OR provide one of these values: Unknown Not collected, Not applicable, Not specified"
imputationSoftware,Imputation software.Example: IMPUTE,,false,genotyping,false,string,"Sage Bionetworks, EMBL-EBI","A data contributor should be able to write in a name OR provide one of these values: Unknown Not collected, Not applicable, Not specified"
variantCount,The number of variants analysed in the discovery stage (after QC).Example: 52500,,true,genotyping,false,string,"Sage Bionetworks, EMBL-EBI","A data contributor should be able to write in a name OR provide one of these values: Unknown Not collected, Not applicable, Not specified"
statisticalModel,"A brief description of the statistical model used to determine association significance. It is important to distinguish studies that would otherwise appear identical (e.g., the same trait analyzed using additive, dominant, and recessive models).Example: additive model",,false,genotyping,false,string,"Sage Bionetworks, EMBL-EBI","A data contributor should be able to write in a name OR provide one of these values: Unknown Not collected, Not applicable, Not specified"
adjustedCovariates,Any covariates the GWAS is adjusted for. Multiple values can be listed separately by a semicolon (;).Example: age;sex,,false,genotyping,true,string,"Sage Bionetworks, EMBL-EBI","A data contributor should be able to write in a name OR provide one of these values: Unknown Not collected, Not applicable, Not specified"
reportedTrait,"The trait under investigation. Please describe the trait concisely but with enough detail to be clear to a non-specialist. Avoid the use of abbreviations; if these are necessary, please define them or their source in the readme file.Example: Reticulocyte count",,true,genotyping,false,string,"Sage Bionetworks, EMBL-EBI","A data contributor should be able to write in a name OR provide one of these values: Unknown Not collected, Not applicable, Not specified"
backgroundTrait,Any background trait(s) shared by all individuals in the GWAS (e.g. in both cases and controls).Example: Nicotine dependence,,false,genotyping,true,string,"Sage Bionetworks, EMBL-EBI","A data contributor should be able to write in a name OR provide one of these values: Unknown Not collected, Not applicable, Not specified"
useReadMeFile?,Was a readme file uploaded to Synapse?,"Yes, No",true,genotyping,false,string,Sage Bionetworks,
readmeFile,The name of any readme file uploaded to Synapse.Example: example.tsv,,false,"genotyping, useReadMeFile? = Yes",false,string,"Sage Bionetworks, EMBL-EBI","A data contributor should be able to write in a name OR provide one of these values: Unknown Not collected, Not applicable, Not specified"
useSummaryFile?,Was a summary statitics file uploded to Synapse?,"Yes, No",true,genotyping,false,string,"Sage Bionetworks, EMBL-EBI",
summaryFile,The name of any summary statistics file uploaded to Synapse.Example: example.tsv,,false,"genotyping, useSummaryFile? = Yes",false,string,"Sage Bionetworks, EMBL-EBI","A data contributor should be able to write in a name OR provide one of these values: Unknown Not collected, Not applicable, Not specified"
summaryStatisticsAssembly,Genome assembly for the summary statistics.Example: GRCh38,,false,"genotyping, useSummaryFile? = Yes",true,string,Sage Bionetworks,"A data contributor should be able to write in a name OR provide one of these values: Unknown Not collected, Not applicable, Not specified"
