Attribute,Type,DUO Shorthand,DUO Term,Description,Valid Values,DependsOn,Properties,Required,Parent,Dependson Component,Validation Rules
diseaseSpecificResearch,string,DSR,DUO:0000007,The type(s) of disease research allowed by this access requirement. Provide the MONDO ID in format MONDO:id. Provide multiple values as a comma-separated list.,,,,FALSE,AccessRequirement,,list like::regex search MONDO:\d{7}
geographicalRestriction,string,GSR,DUO:0000022,The specific geographic region(s) to which use is limited by the access requirement.,"AD, AE, AF, AG, AI, AL, AM, AO, AQ, AR, AS, AT, AU, AW, AX, AZ, BA, BB, BD, BE, BF, BG, BH, BI, BJ, BL, BM, BN, BO, BQ, BR, BS, BT, BV, BW, BY, BZ, CA, CC, CD, CF, CG, CH, CI, CK, CL, CM, CN, CO, CR, CU, CV, CW, CX, CY, CZ, DE, DJ, DK, DM, DO, DZ, EC, EE, EG, EH, ER, ES, ET, FI, FJ, FK, FM, FO, FR, GA, GB, GD, GE, GF, GG, GH, GI, GL, GM, GN, GP, GQ, GR, GS, GT, GU, GW, GY, HK, HM, HN, HR, HT, HU, ID, IE, IL, IM, IN, IO, IQ, IR, IS, IT, JE, JM, JO, JP, KE, KG, KH, KI, KM, KN, KP, KR, KW, KY, KZ, LA, LB, LC, LI, LK, LR, LS, LT, LU, LV, LY, MA, MC, MD, ME, MF, MG, MH, MK, ML, MM, MN, MO, MP, MQ, MR, MS, MT, MU, MV, MW, MX, MY, MZ, NA, NC, NE, NF, NG, NI, NL, NO, NP, NR, NU, NZ, OM, PA, PE, PF, PG, PH, PK, PL, PM, PN, PR, PS, PT, PW, PY, QA, RE, RO, RS, RU, RW, SA, SB, SC, SD, SE, SG, SH, SI, SJ, SK, SL, SM, SN, SO, SR, SS, ST, SV, SX, SY, SZ, TC, TD, TF, TG, TH, TJ, TK, TL, TM, TN, TO, TR, TT, TV, TW, TZ, UA, UG, UM, US, UY, UZ, VA, VC, VE, VG, VI, VN, VU, WF, WS, YE, YT, ZA, ZM, ZW",,,FALSE,AccessRequirement,,list like
institutionSpecificRestriction,string,IST,DUO:0000028,Institutions with specific restrictions associated with the access requirement. Provide the institution ROR ID in format ROR:id. Provide multiple entries as a comma-separated list.,,,,FALSE,AccessRequirement,,list like::regex search ROR:[a-z0-9]{9}
publicationMoratorium,string,MOR,DUO:0000024,End date of the publication moratorium associated with the access requirement.,,,,FALSE,AccessRequirement,,date
researchSpecificRestrictions,string,RST,DUO:0000012,Research-specific restrictions associated with the access requirement.,,,,FALSE,AccessRequirement,,str
timeLimitOnUse,number,TSM,DUO:0000025,Time limit on the use of the data associated with the access requirement.,,,,FALSE,AccessRequirement,,number
userSpecificRestriction,string,USE,DUO:0000026,The user-specific restrictions associated with the access requirement.,,,,FALSE,AccessRequirement,,str
sourceGeography,string,DUOPlus1,,The geographical source of the data associated with the access requirement. Equivalent to DUOPlus1.,"AD, AE, AF, AG, AI, AL, AM, AO, AQ, AR, AS, AT, AU, AW, AX, AZ, BA, BB, BD, BE, BF, BG, BH, BI, BJ, BL, BM, BN, BO, BQ, BR, BS, BT, BV, BW, BY, BZ, CA, CC, CD, CF, CG, CH, CI, CK, CL, CM, CN, CO, CR, CU, CV, CW, CX, CY, CZ, DE, DJ, DK, DM, DO, DZ, EC, EE, EG, EH, ER, ES, ET, FI, FJ, FK, FM, FO, FR, GA, GB, GD, GE, GF, GG, GH, GI, GL, GM, GN, GP, GQ, GR, GS, GT, GU, GW, GY, HK, HM, HN, HR, HT, HU, ID, IE, IL, IM, IN, IO, IQ, IR, IS, IT, JE, JM, JO, JP, KE, KG, KH, KI, KM, KN, KP, KR, KW, KY, KZ, LA, LB, LC, LI, LK, LR, LS, LT, LU, LV, LY, MA, MC, MD, ME, MF, MG, MH, MK, ML, MM, MN, MO, MP, MQ, MR, MS, MT, MU, MV, MW, MX, MY, MZ, NA, NC, NE, NF, NG, NI, NL, NO, NP, NR, NU, NZ, OM, PA, PE, PF, PG, PH, PK, PL, PM, PN, PR, PS, PT, PW, PY, QA, RE, RO, RS, RU, RW, SA, SB, SC, SD, SE, SG, SH, SI, SJ, SK, SL, SM, SN, SO, SR, SS, ST, SV, SX, SY, SZ, TC, TD, TF, TG, TH, TJ, TK, TL, TM, TN, TO, TR, TT, TV, TW, TZ, UA, UG, UM, US, UY, UZ, VA, VC, VE, VG, VI, VN, VU, WF, WS, YE, YT, ZA, ZM, ZW",,,FALSE,AccessRequirement,,list like
populationType,string,DUOPlus2,,The population studied in the research associated with the access requirement. Equivalent to DUOPlus2.,,,,FALSE,AccessRequirement,,str
deidentificationType,string,DUOPlus3,,The type of de-identification applied to the data associated with the access requirement. Equivalent to DUOPlus3.,"HIPPA_LDS, SafeHarbor, ExpertDetermination, Pseudonymized, Anonymized, Other",,,FALSE,AccessRequirement,,list like
dataPermission,string,DUOPlus4,,The permissions associated with the data under the access requirement. Equivalent to DUOPlus4.,"Agreement, Attestation, Award, Other",,,FALSE,AccessRequirement,,list like
dataTier,string,DUOPlus5,,The tier of data access associated with the access requirement. Equivalent to DUOPlus5.,"Anonymous, Open, Controlled, Private",,,FALSE,AccessRequirement,,list like
license,string,DUOPlus6,,The license under which the data associated with the access requirement is shared. Equivalent to DUOPlus6.,"CC0, CC_BY, CC_BY_NC, CC_BY_ND, CC_BY_SA, CC_BY_NC_ND, CC_BY_NC_SA, Apache_2.0, MIT, GPL_3.0, BSD_3_Clause",,,FALSE,AccessRequirement,,list like
attribution,string,DUOPlus7,,The attribution statement for the data associated with the access requirement. Equivalent to DUOPlus7.,,,,FALSE,AccessRequirement,,str
USE,string,USE,DUO:0000026,This data use modifier indicates that use is limited to use by approved users.,,userSpecificRestriction,DUO:0000026,FALSE,dataUseModifiers,,str
COL,string,COL,DUO:0000020,This data use modifier indicates that the requestor must agree to collaboration with the primary study investigator(s).,,collaborationRequired,DUO:0000020,FALSE,dataUseModifiers,,str
RST,string,RST,DUO:0000012,This data use modifier indicates that use is limited to studies of a certain research type.,,researchSpecificRestrictions,DUO:0000012,FALSE,dataUseModifiers,,str
TSM,string,TSM,DUO:0000025,This data use modifier indicates that use is approved for a specific number of months.,,timeLimitOnUse,DUO:0000025,FALSE,dataUseModifiers,,str
MOR,string,MOR,DUO:0000024,This data use modifier indicates that requestor agrees not to publish results of studies until a specific date.,,publicationMoratorium,DUO:0000024,FALSE,dataUseModifiers,,str
IST,string,IST,DUO:0000028,This data use modifier indicates that use is limited to use within an approved institution.,,institutionSpecificRestriction,DUO:0000028,FALSE,dataUseModifiers,,str
GSR,string,GSR,DUO:0000022,This data use modifier indicates that use is limited to within a specific geographic region.,,geographicalRestriction,DUO:0000022,FALSE,dataUseModifiers,,str
DSR,string,DSR,DUO:0000007,This data use permission indicates that use is allowed provided it is related to the specified disease.,,diseaseSpecificResearch,DUO:0000007,FALSE,dataUseModifiers,,str
IRB,string,IRB,DUO:0000021,This data use modifier indicates that the requestor must provide documentation of local IRB/ERB approval.,,,DUO:0000021,FALSE,dataUseModifiers,,str
GRU,string,GRU,DUO:0000042,This data use permission indicates that use is allowed for general research use for any research purpose.,,,DUO:0000042,FALSE,dataUseModifiers,,str
HMB,string,HMB,DUO:0000006,This data use permission indicates that use is allowed for health/medical/biomedical purposes; does not include the study of population origins or ancestry.,,,DUO:0000006,FALSE,dataUseModifiers,,str
CC,string,CC,DUO:0000043,This data use modifier indicates that the data is allowed for use in clinical use and care.,,,DUO:0000043,FALSE,dataUseModifiers,,str
GSO,string,GSO,DUO:0000016,This data use modifier indicates that use is limited to genetic studies only.,,,DUO:0000016,FALSE,dataUseModifiers,,str
NMDS,string,NMDS,DUO:0000015,This data use modifier indicates that use does not allow methods development research.,,,DUO:0000015,FALSE,dataUseModifiers,,str
NRES,string,NRES,DUO:0000004,This data use permission indicates there is no restriction on use.,,,DUO:0000004,FALSE,dataUseModifiers,,str
NPUNCU,string,NPUNCU,DUO:0000018,"This data use modifier indicates that use of the data is limited to not-for-profit organizations and not-for-profit use, non-commercial use.",,,DUO:0000018,FALSE,dataUseModifiers,,str
NCU,string,NCU,DUO:0000046,This data use modifier indicates that use of the data is limited to not-for-profit use.,,,DUO:0000046,FALSE,dataUseModifiers,,str
NPU,string,NPU,DUO:0000045,This data use modifier indicates that use of the data is limited to not-for-profit organisations.,,,DUO:0000045,FALSE,dataUseModifiers,,str
POA,string,POA,DUO:0000011,This data use permission indicates that use of the data is limited to the study of population origins or ancestry.,,,DUO:0000011,FALSE,dataUseModifiers,,str
NPOA,string,NPOA,DUO:0000044,"This data use modifier indicates use for purposes of population, origin, or ancestry research is prohibited.",,,DUO:0000044,FALSE,dataUseModifiers,,str
PS,string,PS,DUO:0000027,This data use modifier indicates that use is limited to use within an approved project.,,,DUO:0000027,FALSE,dataUseModifiers,,str
PUB,string,PUB,DUO:0000019,This data use modifier indicates that requestor agrees to make results of studies using the data available to the larger scientific community.,,,DUO:0000019,FALSE,dataUseModifiers,,str
RTN,string,RTN,DUO:0000029,This data use modifier indicates that the requestor must return derived/enriched data to the database/resource.,,,DUO:0000029,FALSE,dataUseModifiers,,str
DUOPlus1,string,DUOPlus1,,Source geography is relevant to governance decisions.,,sourceGeography,,FALSE,dataUseModifiers,,str
DUOPlus2,string,DUOPlus2,,Study population is relevant to governance decisions.,,populationType,,FALSE,dataUseModifiers,,str
DUOPlus3,string,DUOPlus3,,Data deidentification is relevant to governance decisions.,,deidentificationType,,FALSE,dataUseModifiers,,str
DUOPlus4,string,DUOPlus4,,A data permission designation is associated with the Study.,,dataPermission,,FALSE,dataUseModifiers,,str
DUOPlus5,string,DUOPlus5,,A data tier designation is associated with the Study.,,dataTier,,FALSE,dataUseModifiers,,str
DUOPlus6,string,DUOPlus6,,A license is associated with the Study.,,license,,FALSE,dataUseModifiers,,str
DUOPlus7,string,DUOPlus7,,Attribution conditions are associated with this Study.,,attribution,,FALSE,dataUseModifiers,,str
